,,,,-SAVOIE,,,
29523,73,73233,73360,Saint-Franc,saint franc,45.487447704918,5.7449414754098
29524,73,73234,73340,Saint-François-de-Sales,saint francois de sales,45.68554983871,6.0512493548387
29525,73,73235,73130,Saint François Longchamp,saint francois longchamp,45.388358269231,6.3573203846154
29526,73,73236,73240,Saint-Genix-sur-Guiers,saint genix sur guiers,45.595374636364,5.6617153636364
29527,73,73237,73220,Saint-Georges-d'Hurtières,saint georges d hurtieres,45.5051115,6.280942125
29528,73,73240,73800,Sainte-Hélène-du-Lac,sainte helene du lac,45.482213012048,6.0650631325301
29529,73,73241,73460,Sainte-Hélène-sur-Isère,sainte helene sur isere,45.599073942308,6.3370706730769
29530,73,73242,73530,Saint-Jean-d'Arves,saint jean d arves,45.171090840336,6.2658557983193
29531,73,73243,73230,Saint-Jean-d'Arvey,saint jean d arvey,45.600229842105,5.9880989473684
29532,73,73244,73440,Saint-Jean-de-Belleville,saint jean de belleville,45.4025075,6.4481910245902
29533,73,73245,73170,Saint-Jean-de-Chevelu,saint jean de chevelu,45.692590606061,5.8184306060606
29534,73,73246,73160,Saint-Jean-de-Couz,saint jean de couz,45.468772321429,5.8139119642857
29535,73,73247,73250,Saint-Jean-de-la-Porte,saint jean de la porte,45.568133076923,6.118086025641
29536,73,73248,73300,Saint-Jean-de-Maurienne,saint jean de maurienne,45.267426582279,6.3405800632911
29537,73,73249,73190,Saint-Jeoire-Prieuré,saint jeoire prieure,45.533046206897,5.991645862069
29538,73,73250,73870,Saint-Julien-Mont-Denis,saint julien mont denis,45.283252670807,6.418008136646
29539,73,73252,73220,Saint-Léger,saint leger,45.437315964912,6.2593287719298
29540,73,73253,73600,Saint-Marcel,saint marcel,45.500541458333,6.5696678472222
29541,73,73254,73240,Sainte-Marie-d'Alvey,sainte marie d alvey,45.594633888889,5.7128779166667
29542,73,73255,73130,Sainte-Marie-de-Cuines,sainte marie de cuines,45.315770512821,6.2817098717949
29543,73,73256,73140,Saint-Martin-d'Arc,saint martin d arc,45.204762592593,6.4629418518519
29544,73,73257,73440,Les Belleville,les belleville,45.3804019,6.504104
29545,73,73257,73600,Les Belleville,les belleville,45.4969435,6.5725599
29546,73,73258,73140,Saint-Martin-de-la-Porte,saint martin de la porte,45.259817133758,6.4559201273885
29547,73,73259,73130,Saint-Martin-sur-la-Chambre,saint martin sur la chambre,45.373399344262,6.3225896721311
29548,73,73260,73240,Saint-Maurice-de-Rotherens,saint maurice de rotherens,45.617164367816,5.7035826436782
29549,73,73261,73140,Saint-Michel-de-Maurienne,saint michel de maurienne,45.227389691358,6.4886579012346
29550,73,73262,73590,Saint-Nicolas-la-Chapelle,saint nicolas la chapelle,45.825915704225,6.4789641549296
29551,73,73263,73100,Saint-Offenge,saint offenge,45.722861741294,6.0039754726368
29552,73,73265,73410,Saint-Ours,saint ours,45.756503797468,5.9835059493671
29553,73,73266,73260,Saint-Oyen,saint oyen,45.508579482759,6.4803824137931
29554,73,73267,73300,Saint-Pancrace,saint pancrace,45.265153333333,6.3008092
29555,73,73268,73730,Saint-Paul-sur-Isère,saint paul sur isere,45.585868705036,6.410070647482
29556,73,73269,73170,Saint-Paul,saint paul,45.67250032,5.78551144
29557,73,73270,73250,Saint-Pierre-d'Albigny,saint pierre d albigny,45.577246626506,6.1556284337349
29558,73,73271,73170,Saint-Pierre-d'Alvey,saint pierre d alvey,45.626307954545,5.7460685227273
29559,73,73272,73220,Saint-Pierre-de-Belleville,saint pierre de belleville,45.450308317757,6.2509271962617
29560,73,73273,73310,Saint-Pierre-de-Curtille,saint pierre de curtille,45.771263793103,5.8168973563218
29561,73,73274,73670,Saint-Pierre-d'Entremont,saint pierre d entremont,45.414880506912,5.8838411059908
29562,73,73275,73360,Saint-Pierre-de-Genebroz,saint pierre de genebroz,45.4687747,5.7606022
29563,73,73276,73800,Saint-Pierre-de-Soucy,saint pierre de soucy,45.483503563218,6.1006208045977
29564,73,73277,73630,Sainte-Reine,sainte reine,45.608481914894,6.143390212766
29565,73,73278,73660,Saint-Rémy-de-Maurienne,saint remy de maurienne,45.38633984,6.22644568
29566,73,73280,73530,Saint-Sorlin-d'Arves,saint sorlin d arves,45.200811166667,6.2068732916667
29567,73,73281,73160,Saint-Sulpice,saint sulpice,45.566496458333,5.852156875
29568,73,73282,73160,Saint-Thibaud-de-Couz,saint thibaud de couz,45.49583847561,5.837911402439
29569,73,73283,73460,Saint-Vital,saint vital,45.629615,6.2947497727273
29570,73,73284,73600,Salins-Fontaine,salins fontaine,45.464266198347,6.5281498347107
29571,73,73285,73700,Séez,seez,45.651250917874,6.8458734299517
29572,73,73286,73310,Serrières-en-Chautagne,serrieres en chautagne,45.874,5.842221147541
29573,73,73288,73000,Sonnaz,sonnaz,45.617839724771,5.918009266055
29574,73,73289,73110,La Table,la table,45.473706889952,6.1839557894737
29575,73,73290,73480,Val-Cenis,val cenis,45.285561,6.875663
29576,73,73290,73500,Val-Cenis,val cenis,45.284625,6.8830311
29577,73,73292,73200,Thénésol,thenesol,45.718397346939,6.3845697959184
29578,73,73293,73230,Thoiry,thoiry,45.594987048193,6.0418745180723
29579,73,73294,73190,La Thuile,la thuile,45.543218202247,6.0585801123596
29580,73,73296,73320,Tignes,tignes,45.477357018072,6.9439290060241
29581,73,73297,73460,Tournon,tournon,45.642617021277,6.3190438297872
29582,73,73298,73790,Tours-en-Savoie,tours en savoie,45.664329809524,6.46277
29583,73,73299,73170,Traize,traize,45.668866153846,5.7454381318681
29584,73,73300,73100,Tresserve,tresserve,45.675037317073,5.8994995121951
29585,73,73301,73100,Trévignin,trevignin,45.708718470588,5.9645236470588
29586,73,73302,73110,La Trinité,la trinite,45.506492711864,6.1520506779661
29587,73,73303,73400,Ugine,ugine,45.776277782101,6.4287192607004
29588,73,73304,73150,Val-d'Isère,val d isere,45.435294352332,7.009359507772
29589,73,73306,73450,Valloire,valloire,45.127394842932,6.4241803926702
29590,73,73307,73450,Valmeinier,valmeinier,45.158357042253,6.5069181690141
29591,73,73308,73200,Venthon,venthon,45.686607454545,6.4192187272727
29592,73,73309,73330,Verel-de-Montbel,verel de montbel,45.550481666667,5.7238065476191
29593,73,73310,73230,Verel-Pragondran,verel pragondran,45.619666707317,5.9509908536585
29594,73,73311,73110,Le Verneil,le verneil,45.453715821918,6.183311369863
29595,73,73312,73460,Verrens-Arvey,verrens arvey,45.660519454545,6.292866
29596,73,73313,73170,Verthemex,verthemex,45.628948721805,5.7873963157895
29597,73,73314,73800,Villard-d'Héry,villard d hery,45.517526404494,6.142904494382
29598,73,73315,73390,Villard-Léger,villard leger,45.498935365854,6.1757986585366
29599,73,73316,73110,Villard-Sallet,villard sallet,45.486316857143,6.1376562857143
