,,,,-HAUTES-PYRENEES,,,
26217,65,65253,65220,Lamarque-Rustaing,lamarque rustaing,43.274265890411,0.29757383561644
26218,65,65254,65140,Laméac,lameac,43.330962857143,0.23012901785714
26219,65,65255,65240,Lançon,lancon,42.881397307692,0.36967153846154
26220,65,65256,65190,Lanespède,lanespede,43.165040483871,0.27386879032258
26221,65,65257,65380,Lanne,lanne,43.163717066667,0.00397773333333
26222,65,65258,65300,Lannemezan,lannemezan,43.129541121951,0.38585882926829
26223,65,65259,65350,Lansac,lansac,43.223462978723,0.18076035460993
26224,65,65260,65220,Lapeyre,lapeyre,43.325470298507,0.3245352238806
26225,65,65261,65670,Laran,laran,43.234029756098,0.47668207317073
26226,65,65262,65700,Larreule,larreule,43.442486554622,0.01873579831933
26227,65,65263,65230,Larroque,larroque,43.312072413793,0.48706543103448
26228,65,65264,65700,Lascazères,lascazeres,43.495719557522,-0.02564265486726
26229,65,65265,65350,Laslades,laslades,43.228385159574,0.16916765957447
26230,65,65266,65670,Lassales,lassales,43.210955660377,0.48495622641509
26231,65,65267,65400,Lau-Balagnas,lau balagnas,42.99076122449,-0.0909712244898
26232,65,65268,65380,Layrisse,layrisse,43.137529857143,0.05335085714286
26233,65,65269,65140,Lescurry,lescurry,43.339368152174,0.16118532608696
26234,65,65270,65190,Lespouey,lespouey,43.213783424658,0.17751589041096
26235,65,65271,65100,Lézignan,lezignan,43.097755657895,-0.00417539473684
26236,65,65272,65190,Lhez,lhez,43.202523541667,0.19487375
26237,65,65273,65140,Liac,liac,43.414151341463,0.1002337804878
26238,65,65274,65330,Libaros,libaros,43.251649642857,0.39487651785714
26239,65,65275,65200,Lies,lies,43.058443714286,0.20277557142857
26240,65,65276,65350,Lizos,lizos,43.259231551724,0.14598982758621
26241,65,65277,65150,Lombrès,lombres,43.05065016129,0.5100314516129
26242,65,65278,65130,Lomné,lomne,43.048055227273,0.29924477272727
26243,65,65279,65250,Lortet,lortet,43.035458571429,0.37823628571429
26244,65,65280,65100,Loubajac,loubajac,43.138920434783,-0.08560652173913
26245,65,65281,65200,Loucrup,loucrup,43.11609173913,0.06852666666667
26246,65,65282,65240,Loudenvielle,loudenvielle,42.795702,0.412744
26247,65,65282,65510,Loudenvielle,loudenvielle,42.7165404,0.4408037
26248,65,65283,65240,Loudervielle,loudervielle,42.806316888889,0.43007944444444
26249,65,65284,65290,Louey,louey,43.178136091954,0.0184191954023
26250,65,65285,65350,Louit,louit,43.300568190476,0.16519904761905
26251,65,65286,65100,Lourdes,lourdes,43.109618466667,-0.08328666666667
26252,65,65287,65370,Loures-Barousse,loures barousse,43.02630745098,0.60370450980392
26253,65,65288,65220,Lubret-Saint-Luc,lubret saint luc,43.314777875,0.29931
26254,65,65289,65220,Luby-Betmont,luby betmont,43.2957684375,0.29675265625
26255,65,65290,65190,Luc,luc,43.147603506494,0.18389350649351
26256,65,65291,65100,Lugagnan,lugagnan,43.062510571429,-0.03807028571429
26257,65,65292,65320,Luquet,luquet,43.265181710526,-0.11950796052632
26258,65,65293,65220,Lustar,lustar,43.268103673469,0.3365156122449
26259,65,65294,65300,Lutilhous,lutilhous,43.132873888889,0.32646255555556
26260,65,65295,65120,Luz-Saint-Sauveur,luz saint sauveur,42.829167721088,0.02001731292517
26261,65,65296,65700,Madiran,madiran,43.55090375,-0.05771320652174
26262,65,65297,65140,Mansan,mansan,43.341061428571,0.19228071428571
26263,65,65298,65350,Marquerie,marquerie,43.260834659091,0.2028975
26264,65,65299,65500,Marsac,marsac,43.330857804878,0.08539609756098
26265,65,65300,65200,Marsas,marsas,43.052035,0.22322071428571
26266,65,65301,65350,Marseillan,marseillan,43.303022477064,0.21432880733945
26267,65,65303,65190,Mascaras,mascaras,43.195037761194,0.17740485074627
26268,65,65304,65700,Maubourguet,maubourguet,43.473208252033,0.03982357723577
26269,65,65305,65370,Mauléon-Barousse,mauleon barousse,42.947768,0.57745
26270,65,65306,65130,Mauvezin,mauvezin,43.122062269939,0.28499343558282
26271,65,65307,65150,Mazères-de-Neste,mazeres de neste,43.079372151899,0.5368364556962
26272,65,65308,65220,Mazerolles,mazerolles,43.35519559322,0.28936644067797
26273,65,65309,65250,Mazouau,mazouau,43.030128928571,0.40321071428571
26274,65,65310,65200,Mérilheu,merilheu,43.102055257732,0.17822701030928
26275,65,65311,65140,Mingot,mingot,43.374723442623,0.17036950819672
26276,65,65313,65360,Momères,momeres,43.173370377358,0.07839188679245
26277,65,65314,65140,Monfaucon,monfaucon,43.451205299145,0.11833752136752
26278,65,65315,65670,Monléon-Magnoac,monleon magnoac,43.236177236842,0.51525171052632
26279,65,65316,65670,Monlong,monlong,43.198350172414,0.46567870689655
26280,65,65317,65240,Mont,mont,42.819899764706,0.43929611764706
26281,65,65318,65330,Montastruc,montastruc,43.21377075,0.34646991666667
26282,65,65319,65150,Montégut,montegut,43.050396153846,0.49867
26283,65,65320,65200,Montgaillard,montgaillard,43.123016153846,0.11876027972028
26284,65,65321,65690,Montignac,montignac,43.183723333333,0.15078615384615
26285,65,65322,65250,Montoussé,montousse,43.061926060606,0.41523848484848
26286,65,65323,65150,Montsérié,montserie,43.050498225806,0.43444612903226
26287,65,65324,65190,Moulédous,mouledous,43.228972352941,0.24641063348416
26288,65,65325,65140,Moumoulous,moumoulous,43.359783492063,0.24370111111111
26289,65,65326,65350,Mun,mun,43.282517864078,0.27148514563107
26290,65,65327,65150,Nestier,nestier,43.059861666667,0.4783246969697
26291,65,65328,65200,Neuilh,neuilh,43.074897857143,0.07072357142857
26292,65,65329,65150,Nistos,nistos,43.00040940678,0.47636457627119
26293,65,65330,65500,Nouilhan,nouilhan,43.427370394737,0.04015776315789
26294,65,65331,65310,Odos,odos,43.195372142857,0.05671223214286
26295,65,65332,65350,Oléac-Debat,oleac debat,43.273050731707,0.14352268292683
26296,65,65333,65190,Oléac-Dessus,oleac dessus,43.160970493827,0.19800975308642
26297,65,65334,65100,Omex,omex,43.07868984375,-0.090165
26298,65,65335,65200,Ordizan,ordizan,43.107564649123,0.14512701754386
26299,65,65336,65230,Organ,organ,43.277471041667,0.4807575
26300,65,65337,65190,Orieux,orieux,43.234144497041,0.29628917159763
26301,65,65338,65200,Orignac,orignac,43.12500364532,0.16535492610837
26302,65,65339,65380,Orincles,orincles,43.121389135802,0.04162580246914
26303,65,65340,65800,Orleix,orleix,43.277657473684,0.11730210526316
26304,65,65341,65320,Oroix,oroix,43.296527807018,-0.02196684210526
26305,65,65342,65350,Osmets,osmets,43.308139868421,0.26446078947368
26306,65,65343,65100,Ossen,ossen,43.065489078947,-0.07761684210526
26307,65,65344,65380,Ossun,ossun,43.186537913669,-0.05002043165468
26308,65,65345,65100,Ossun-ez-Angles,ossun ez angles,43.0803552,0.0563432
26309,65,65346,65190,Oueilloux,oueilloux,43.176102190476,0.18060457142857
26310,65,65347,65370,Ourde,ourde,42.966112714286,0.54232457142857
26311,65,65348,65100,Ourdis-Cotdoussan,ourdis cotdoussan,43.042491428571,0.02715928571429
26312,65,65349,65100,Ourdon,ourdon,43.034421142857,-0.00987542857143
26313,65,65350,65490,Oursbelille,oursbelille,43.288319622641,0.02635188679245
26314,65,65351,65100,Ousté,ouste,43.046815584416,-0.01386025974026
26315,65,65352,65400,Ouzous,ouzous,43.031243018868,-0.10401339622642
26316,65,65353,65190,Ozon,ozon,43.171501005025,0.25572522613065
26317,65,65354,65240,Pailhac,pailhac,42.912927142857,0.36883142857143
26318,65,65355,65100,Paréac,pareac,43.11413816092,0.01580804597701
26319,65,65356,65130,Péré,pere,43.14885221374,0.29363503816794
26320,65,65357,65190,Peyraube,peyraube,43.202491609195,0.25469022988506
26321,65,65358,65230,Peyret-Saint-André,peyret saint andre,43.3190682,0.515617
26322,65,65359,65350,Peyriguère,peyriguere,43.251130813008,0.25919219512195
26323,65,65360,65270,Peyrouse,peyrouse,43.111904571429,-0.112655
26324,65,65361,65140,Peyrun,peyrun,43.330478545455,0.18886327272727
26325,65,65362,65260,Pierrefitte-Nestalas,pierrefitte nestalas,42.961308695652,-0.0751797826087
26326,65,65363,65300,Pinas,pinas,43.118697272727,0.44172636363636
26327,65,65364,65320,Pintac,pintac,43.286492407407,-9.0000000000034E-5
26328,65,65366,65100,Poueyferré,poueyferre,43.119955512821,-0.08473628205128
26329,65,65367,65190,Poumarous,poumarous,43.158338888889,0.21810172839506
26330,65,65368,65230,Pouy,pouy,43.262351803279,0.55683360655738
26331,65,65369,65350,Pouyastruc,pouyastruc,43.268228411765,0.17921411764706
26332,65,65370,65200,Pouzac,pouzac,43.080320531915,0.1261764893617
26333,65,65371,65400,Préchac,prechac,42.9943432,-0.0669404
26334,65,65372,65500,Pujo,pujo,43.341571752577,0.06484958762887
26335,65,65373,65230,Puntous,puntous,43.305856618705,0.46057820143885
26336,65,65374,65220,Puydarrieux,puydarrieux,43.290957666667,0.4028685
26337,65,65375,65140,Rabastens-de-Bigorre,rabastens de bigorre,43.387296962963,0.15638814814815
26338,65,65376,65330,Recurt,recurt,43.199440840336,0.43469407563025
26339,65,65377,65300,Réjaumont,rejaumont,43.162462016129,0.45136483870968
26340,65,65378,65190,Ricaud,ricaud,43.1498755,0.2722955
