,,,,-LANDES,,,
15596,40,40228,40360,Pomarez,pomarez,43.626952101911,-0.82610681528662
15597,40,40229,40200,Pontenx-les-Forges,pontenx les forges,44.219955492958,-1.1079684507042
15598,40,40230,40465,Pontonx-sur-l'Adour,pontonx sur l adour,43.785477862595,-0.91419916030534
15599,40,40231,40300,Port-de-Lanne,port de lanne,43.569806067416,-1.180226741573
15600,40,40232,40700,Poudenx,poudenx,43.586092411348,-0.59011843971631
15601,40,40233,40350,Pouillon,pouillon,43.602647241379,-1.0063773060345
15602,40,40234,40120,Pouydesseaux,pouydesseaux,43.991501022727,-0.35596704545455
15603,40,40235,40380,Poyanne,poyanne,43.747333926702,-0.81870445026178
15604,40,40236,40380,Poyartin,poyartin,43.688227444934,-0.86124444933921
15605,40,40237,40465,Préchacq-les-Bains,prechacq les bains,43.753962410714,-0.92038535714286
15606,40,40238,40190,Pujo-le-Plan,pujo le plan,43.862526777251,-0.35117180094787
15607,40,40239,40320,Puyol-Cazalet,puyol cazalet,43.604545063291,-0.40342202531646
15608,40,40240,40270,Renung,renung,43.743643755656,-0.36991570135747
15609,40,40242,40310,Rimbez-et-Baudiets,rimbez et baudiets,44.059289758454,0.06341666666667
15610,40,40243,40370,Rion-des-Landes,rion des landes,43.90958,-0.95360173913043
15611,40,40244,40180,Rivière-Saas-et-Gourby,riviere saas et gourby,43.6910055,-1.17766225
15612,40,40245,40120,Roquefort,roquefort,44.03721715736,-0.32684436548223
15613,40,40246,40630,Sabres,sabres,44.179398688525,-0.74975076502732
15614,40,40247,40800,Saint-Agnet,saint agnet,43.606792371134,-0.26979474226804
15615,40,40248,40390,Saint-André-de-Seignanx,saint andre de seignanx,43.555718947368,-1.3523626315789
15616,40,40249,40250,Saint-Aubin,saint aubin,43.71762245614,-0.72921035087719
15617,40,40250,40090,Saint-Avit,saint avit,43.947974059406,-0.45757118811881
15618,40,40251,40390,Saint-Barthélemy,saint barthelemy,43.517392191781,-1.3302779452055
15619,40,40252,40700,Sainte-Colombe,sainte colombe,43.684491486486,-0.55488418918919
15620,40,40253,40700,Saint-Cricq-Chalosse,saint cricq chalosse,43.659413063063,-0.6721422972973
15621,40,40254,40300,Saint-Cricq-du-Gave,saint cricq du gave,43.529803333333,-1.0140672043011
15622,40,40255,40190,Saint-Cricq-Villeneuve,saint cricq villeneuve,43.903685870445,-0.34944218623482
15623,40,40256,40300,Saint-Étienne-d'Orthe,saint etienne d orthe,43.590796578947,-1.1920664473684
15624,40,40257,40200,Sainte-Eulalie-en-Born,sainte eulalie en born,44.272682285714,-1.197136
15625,40,40258,40190,Sainte-Foy,sainte foy,43.928671157895,-0.32788126315789
15626,40,40259,40190,Saint-Gein,saint gein,43.832977142857,-0.30159343915344
15627,40,40260,40380,Saint-Geours-d'Auribat,saint geours d auribat,43.754405272727,-0.83903290909091
15628,40,40261,40230,Saint-Geours-de-Maremne,saint geours de maremne,43.68536587156,-1.2068652293578
15629,40,40262,40120,Saint-Gor,saint gor,44.078093193916,-0.24980422053232
15630,40,40263,40380,Saint-Jean-de-Lier,saint jean de lier,43.784600319149,-0.88121574468085
15631,40,40264,40230,Saint-Jean-de-Marsacq,saint jean de marsacq,43.609674642857,-1.2452682142857
15632,40,40265,40240,Saint-Julien-d'Armagnac,saint julien d armagnac,43.984806831683,-0.14057930693069
15633,40,40266,40170,Saint-Julien-en-Born,saint julien en born,44.07799237037,-1.2386923703704
15634,40,40267,40240,Saint-Justin,saint justin,43.98404093985,-0.23607481203008
15635,40,40268,40390,Saint-Laurent-de-Gosse,saint laurent de gosse,43.524707156863,-1.284032745098
15636,40,40269,40300,Saint-Lon-les-Mines,saint lon les mines,43.627292178218,-1.1305583663366
15637,40,40270,40320,Saint-Loubouer,saint loubouer,43.681517376238,-0.4210350990099
15638,40,40271,40390,Sainte-Marie-de-Gosse,sainte marie de gosse,43.556449036145,-1.2402484337349
15639,40,40272,40390,Saint-Martin-de-Hinx,saint martin de hinx,43.579697864583,-1.26988734375
15640,40,40273,40390,Saint-Martin-de-Seignanx,saint martin de seignanx,43.534928783069,-1.3937491534391
15641,40,40274,40090,Saint-Martin-d'Oney,saint martin d oney,43.92617125,-0.64132267045455
15642,40,40275,40270,Saint-Maurice-sur-Adour,saint maurice sur adour,43.793623636364,-0.46680163636364
15643,40,40276,40550,Saint-Michel-Escalus,saint michel escalus,43.878864554455,-1.2427320792079
15644,40,40277,40180,Saint-Pandelon,saint pandelon,43.668712694611,-1.0391994610778
15645,40,40278,40200,Saint-Paul-en-Born,saint paul en born,44.212269352941,-1.1507935294118
15646,40,40279,40990,Saint-Paul-lès-Dax,saint paul les dax,43.730642278481,-1.067487721519
15647,40,40280,40090,Saint-Perdon,saint perdon,43.884505775401,-0.59730262032086
15648,40,40281,40280,Saint-Pierre-du-Mont,saint pierre du mont,43.87458792,-0.52799256
15649,40,40282,40500,Saint-Sever,saint sever,43.763120258621,-0.55967272988506
15650,40,40283,40990,Saint-Vincent-de-Paul,saint vincent de paul,43.736989081633,-0.98862887755102
15651,40,40284,40230,Saint-Vincent-de-Tyrosse,saint vincent de tyrosse,43.663822321429,-1.3085546428571
15652,40,40285,40400,Saint-Yaguen,saint yaguen,43.89898962963,-0.74006648148148
15653,40,40286,40320,Samadet,samadet,43.636635647668,-0.4852032642487
15654,40,40287,40460,Sanguinet,sanguinet,44.469876333333,-1.0594593333333
15655,40,40288,40120,Sarbazan,sarbazan,44.018185763547,-0.30236379310345
15656,40,40289,40500,Sarraziet,sarraziet,43.704394882353,-0.49897341176471
15657,40,40290,40800,Sarron,sarron,43.589151612903,-0.26167053763441
15658,40,40291,40230,Saubion,saubion,43.676322241379,-1.3344194827586
15659,40,40292,40230,Saubrigues,saubrigues,43.601722745098,-1.3210253921569
15660,40,40293,40180,Saubusse,saubusse,43.6738716,-1.1923335
15661,40,40294,40180,Saugnac-et-Cambran,saugnac et cambran,43.668221446281,-0.99188842975207
15662,40,40295,40410,Saugnacq-et-Muret,saugnacq et muret,44.405733642857,-0.79608407142857
15663,40,40296,40510,Seignosse,seignosse,43.689639719626,-1.3935100934579
15664,40,40297,40420,Le Sen,le sen,44.143107105263,-0.51690447368421
15665,40,40298,40700,Serres-Gaston,serres gaston,43.668614407895,-0.52026164473684
15666,40,40299,40700,Serreslous-et-Arribans,serreslous et arribans,43.662199545455,-0.64871418181818
15667,40,40300,40180,Seyresse,seyresse,43.681018392857,-1.0606828571429
15668,40,40301,40180,Siest,siest,43.6506032,-1.1279238
15669,40,40302,40110,Sindères,sinderes,44.036281489362,-1.0035355319149
15670,40,40303,40210,Solférino,solferino,44.118653030303,-0.91212606060606
15671,40,40304,40150,Soorts-Hossegor,soorts hossegor,43.671150895522,-1.4073889552239
15672,40,40305,40320,Sorbets,sorbets,43.639807927928,-0.33114144144144
15673,40,40306,40300,Sorde-l'Abbaye,sorde l abbaye,43.52037244898,-1.0507598979592
15674,40,40307,40430,Sore,sore,44.29034742268,-0.59308402061856
15675,40,40308,40180,Sort-en-Chalosse,sort en chalosse,43.680114972678,-0.92629256830601
15676,40,40309,40250,Souprosse,souprosse,43.789818203883,-0.7190932038835
15677,40,40310,40140,Soustons,soustons,43.769087365591,-1.3332311827957
15678,40,40311,40260,Taller,taller,43.895004141414,-1.0910517171717
15679,40,40312,40220,Tarnos,tarnos,43.524600259067,-1.4508402590674
15680,40,40313,40400,Tartas,tartas,43.815133346457,-0.79118346456693
15681,40,40314,40180,Tercis-les-Bains,tercis les bains,43.668606896552,-1.1095115517241
15682,40,40315,40990,Téthieu,tethieu,43.740322346939,-0.95782285714286
15683,40,40316,40360,Tilh,tilh,43.572932125984,-0.83463480314961
15684,40,40317,40230,Tosse,tosse,43.693036052632,-1.3271105263158
15685,40,40318,40250,Toulouzette,toulouzette,43.753327168675,-0.67823843373494
15686,40,40319,40630,Trensacq,trensacq,44.226188692308,-0.75732741025641
15687,40,40320,40090,Uchacq-et-Parentis,uchacq et parentis,43.945140918367,-0.55796765306122
15688,40,40321,40320,Urgons,urgons,43.636749369369,-0.43223918918919
15689,40,40322,40170,Uza,uza,44.025125833333,-1.2018211111111
15690,40,40323,40420,Vert,vert,44.087202403846,-0.57417846153846
15691,40,40324,40380,Vicq-d'Auribat,vicq d auribat,43.784888955224,-0.85679447761194
15692,40,40325,40320,Vielle-Tursan,vielle tursan,43.686280103627,-0.46388305699482
15693,40,40326,40560,Vielle-Saint-Girons,vielle saint girons,43.925829662162,-1.3196924324324
15694,40,40327,40240,Vielle-Soubiran,vielle soubiran,44.073622360248,-0.17084335403727
15695,40,40328,40480,Vieux-Boucau-les-Bains,vieux boucau les bains,43.784552419355,-1.3916391935484
15696,40,40329,40270,Le Vignau,le vignau,43.77918497076,-0.28631748538012
15697,40,40330,40110,Villenave,villenave,43.963600458015,-0.80217145038168
15698,40,40331,40190,Villeneuve-de-Marsan,villeneuve de marsan,43.905852861953,-0.30353595959596
15699,40,40332,40160,Ychoux,ychoux,44.352711111111,-0.94814388888889
15700,40,40333,40110,Ygos-Saint-Saturnin,ygos saint saturnin,43.98541516129,-0.7399223655914
15701,40,40334,40180,Yzosse,yzosse,43.721102777778,-1.0154555555556
