,,,,-CORREZE,,,
6704,19,19263,19300,Soudeilles,soudeilles,45.446248009709,2.0633748058252
6705,19,19264,19550,Soursac,soursac,45.265781068966,2.1954573793103
6706,19,19265,19170,Tarnac,tarnac,45.675803447154,1.9567502439024
6707,19,19266,19200,Thalamy,thalamy,45.506392312925,2.4589311564626
6708,19,19268,19170,Toy-Viam,toy viam,45.647066391753,1.9348492783505
6709,19,19269,19260,Treignac,treignac,45.555402242424,1.7960291212121
6710,19,19270,19230,Troche,troche,45.393158827839,1.456165018315
6711,19,19271,19120,Tudeils,tudeils,45.04854892562,1.7825972727273
6712,19,19272,19000,Tulle,tulle,45.277156178161,1.7608772701149
6713,19,19273,19500,Turenne,turenne,45.063588610039,1.5764482625483
6714,19,19274,19270,Ussac,ussac,45.190965472313,1.5170035504886
6715,19,19275,19200,Ussel,ussel,45.554419491525,2.3032624697336
6716,19,19276,19140,Uzerche,uzerche,45.432540985507,1.5687471304348
6717,19,19277,19200,Valiergues,valiergues,45.477350633803,2.2840033802817
6718,19,19278,19240,Varetz,varetz,45.188865530726,1.4347582681564
6719,19,19279,19130,Vars-sur-Roseix,vars sur roseix,45.261564512195,1.3735068292683
6720,19,19280,19120,Végennes,vegennes,44.979020860927,1.746738013245
6721,19,19281,19260,Veix,veix,45.503353224044,1.8371928415301
6722,19,19283,19200,Veyrières,veyrieres,45.48999125,2.3943751666667
6723,19,19284,19170,Viam,viam,45.612044471154,1.8844974519231
6724,19,19285,19410,Vigeois,vigeois,45.377298303342,1.5073640359897
6725,19,19286,19130,Vignols,vignols,45.32852352459,1.4034416803279
6726,19,19287,19800,Vitrac-sur-Montane,vitrac sur montane,45.374448527397,1.9269665410959
6727,19,19288,19130,Voutezac,voutezac,45.291561481481,1.4388524279835
6728,19,19289,19310,Yssandon,yssandon,45.204815652174,1.386360923913
