id,department_code,insee_code,zip_code,-BAS-RHIN,slug,gps_lat,gps_lng
27173,67,67540,67590,Wintershouse,wintershouse,48.796273584906,7.7060709433962
27174,67,67541,67470,Wintzenbach,wintzenbach,48.931009791667,8.1041897916667
27175,67,67542,67370,Wintzenheim-Kochersberg,wintzenheim kochersberg,48.65774325,7.5071405
27176,67,67543,67130,Wisches,wisches,48.510859057592,7.2278718324607
27177,67,67544,67160,Wissembourg,wissembourg,49.020691785714,7.9716090977444
27178,67,67545,67230,Witternheim,witternheim,48.315024883721,7.6186853488372
27179,67,67546,67670,Wittersheim,wittersheim,48.780106290323,7.6543466129032
27180,67,67547,67820,Wittisheim,wittisheim,48.267058015267,7.6016846564886
27181,67,67548,67370,Wiwersheim,wiwersheim,48.637560754717,7.5978060377359
27182,67,67550,67360,Wœrth,woerth,48.942480076336,7.7462225954198
27183,67,67551,67202,Wolfisheim,wolfisheim,48.578362916667,7.6648784166667
27184,67,67552,67260,Wolfskirchen,wolfskirchen,48.876582020202,7.0718419191919
27185,67,67553,67700,Wolschheim,wolschheim,48.708443035714,7.4572194642857
27186,67,67554,67120,Wolxheim,wolxheim,48.570047868852,7.5066398360656
27187,67,67555,67310,Zehnacker,zehnacker,48.671594871795,7.4524484615385
27188,67,67556,67310,Zeinheim,zeinheim,48.677123023256,7.4883527906977
27189,67,67557,67140,Zellwiller,zellwiller,48.399493663366,7.517557029703
27190,67,67558,67110,Zinswiller,zinswiller,48.914556319018,7.589698404908
27191,67,67559,67290,Zittersheim,zittersheim,48.9013464,7.3427284
