,,,,-CREUSE,,,
7988,23,23206,23000,Saint-Laurent,saint laurent,46.159636926829,1.9548714634146
7989,23,23207,23300,Saint-Léger-Bridereix,saint leger bridereix,46.280308370607,1.5783996166134
7990,23,23208,23000,Saint-Léger-le-Guérétois,saint leger le gueretois,46.145996321429,1.8095456428571
7991,23,23209,23130,Saint-Loup,saint loup,46.145100769231,2.2808159340659
7992,23,23210,23200,Saint-Maixant,saint maixant,45.998918821429,2.1953000714286
7993,23,23211,23200,Saint-Marc-à-Frongier,saint marc a frongier,45.921673551402,2.1078011682243
7994,23,23212,23460,Saint-Marc-à-Loubaud,saint marc a loubaud,45.845492876712,1.9785274429224
7995,23,23213,23600,Saint-Marien,saint marien,46.411126818182,2.2168461363636
7996,23,23214,23150,Saint-Martial-le-Mont,saint martial le mont,46.048454972678,2.0865249180328
7997,23,23215,23100,Saint-Martial-le-Vieux,saint martial le vieux,45.688077423313,2.3060604294479
7998,23,23216,23460,Saint-Martin-Château,saint martin chateau,45.850228015873,1.8097823015873
7999,23,23217,23430,Saint-Martin-Sainte-Catherine,saint martin sainte catherine,45.938434518272,1.5569853156146
8000,23,23218,23260,Saint-Maurice-près-Crocq,saint maurice pres crocq,45.860985052265,2.311963554007
8001,23,23219,23300,Saint-Maurice-la-Souterraine,saint maurice la souterraine,46.2135748125,1.425549875
8002,23,23220,23200,Saint-Médard-la-Rochette,saint medard la rochette,46.021193916914,2.135866735905
8003,23,23221,23100,Saint-Merd-la-Breuille,saint merd la breuille,45.733725230769,2.4322925384615
8004,23,23222,23480,Saint-Michel-de-Veisse,saint michel de veisse,45.946388306011,2.062790273224
8005,23,23223,23400,Saint-Moreil,saint moreil,45.862352261146,1.6931167834395
8006,23,23224,23100,Saint-Oradoux-de-Chirouze,saint oradoux de chirouze,45.732365045872,2.3278508715596
8007,23,23225,23260,Saint-Oradoux-près-Crocq,saint oradoux pres crocq,45.888981939655,2.3754598275862
8008,23,23226,23260,Saint-Pardoux-d'Arnet,saint pardoux d arnet,45.879868642384,2.3263386423841
8009,23,23227,23400,Saint-Pardoux-Morterolles,saint pardoux morterolles,45.903663087071,1.8263418733509
8010,23,23228,23200,Saint-Pardoux-le-Neuf,saint pardoux le neuf,45.934054358974,2.2299783974359
8011,23,23229,23150,Saint-Pardoux-les-Cards,saint pardoux les cards,46.093588259587,2.1209206784661
8012,23,23230,23430,Saint-Pierre-Chérignat,saint pierre cherignat,45.958264812287,1.6191441638225
8013,23,23232,23460,Saint-Pierre-Bellevue,saint pierre bellevue,45.903813727273,1.8931573636364
8014,23,23233,23600,Saint-Pierre-le-Bost,saint pierre le bost,46.395024585987,2.2621487898089
8015,23,23234,23110,Saint-Priest,saint priest,46.096525569007,2.3538441646489
8016,23,23235,23300,Saint-Priest-la-Feuille,saint priest la feuille,46.19487910387,1.5370967209776
8017,23,23236,23240,Saint-Priest-la-Plaine,saint priest la plaine,46.203629761194,1.6286890746269
8018,23,23237,23400,Saint-Priest-Palus,saint priest palus,45.892417198697,1.6758861889251
8019,23,23238,23500,Saint-Quentin-la-Chabanne,saint quentin la chabanne,45.881010307692,2.1513293846154
8020,23,23239,23160,Saint-Sébastien,saint sebastien,46.392001823708,1.5341468693009
8021,23,23240,23600,Saint-Silvain-Bas-le-Roc,saint silvain bas le roc,46.331968017241,2.2202656321839
8022,23,23241,23190,Saint-Silvain-Bellegarde,saint silvain bellegarde,45.970368005698,2.3024634472934
8023,23,23242,23320,Saint-Silvain-Montaigut,saint silvain montaigut,46.138744696486,1.7621882428115
8024,23,23243,23140,Saint-Silvain-sous-Toulx,saint silvain sous toulx,46.262521538462,2.1865896153846
8025,23,23244,23800,Saint-Sulpice-le-Dunois,saint sulpice le dunois,46.293592950311,1.720260931677
8026,23,23245,23000,Saint-Sulpice-le-Guérétois,saint sulpice le gueretois,46.201506305556,1.8304788888889
8027,23,23246,23480,Saint-Sulpice-les-Champs,saint sulpice les champs,45.991631533333,2.0295564333333
8028,23,23247,23320,Saint-Vaury,saint vaury,46.200629281768,1.752453121547
8029,23,23248,23000,Saint-Victor-en-Marche,saint victor en marche,46.123025276074,1.7957084662577
8030,23,23249,23460,Saint-Yrieix-la-Montagne,saint yrieix la montagne,45.875376048387,2.0033843548387
8031,23,23250,23150,Saint-Yrieix-les-Bois,saint yrieix les bois,46.09656173913,1.9586017028985
8032,23,23251,23170,Tardes,tardes,46.143875361217,2.3628619011407
8033,23,23252,23350,Tercillat,tercillat,46.397770592593,2.0529425925926
8034,23,23253,23250,Thauron,thauron,46.004909395161,1.8081802822581
8035,23,23254,23600,Toulx-Sainte-Croix,toulx sainte croix,46.292470919811,2.2144305188679
8036,23,23255,23230,Trois-Fonds,trois fonds,46.242183419355,2.2356347096774
8037,23,23257,23120,Vallière,valliere,45.906163563474,2.0354884187082
8038,23,23258,23300,Vareilles,vareilles,46.299692202073,1.4481833678756
8039,23,23259,23170,Verneiges,verneiges,46.26435387931,2.3429755172414
8040,23,23260,23250,Vidaillat,vidaillat,45.957031129707,1.901790209205
8041,23,23261,23170,Viersat,viersat,46.258486422018,2.441611146789
8042,23,23262,23140,Vigeville,vigeville,46.157477669492,2.0712402118644
8043,23,23263,23800,Villard,villard,46.332758834951,1.6990915048544
8044,23,23264,23340,La Villedieu,la villedieu,45.733164950495,1.8929335643564
8045,23,23265,23260,La Villeneuve,la villeneuve,45.896169918033,2.4147426229508
8046,23,23266,23260,La Villetelle,la villetelle,45.928407368421,2.3383666165414
