,,,,-SARTHE,,,
29190,72,72247,72700,Pruillé-le-Chétif,pruille le chetif,47.990271073446,0.0989302259887
29191,72,72248,72150,Pruillé-l'Éguillé,pruille l eguille,47.835460724638,0.4228584057971
29192,72,72249,72550,La Quinte,la quinte,48.050760105263,0.04323968421053
29193,72,72250,72120,Rahay,rahay,47.961622201258,0.81079270440252
29194,72,72251,72260,René,rene,48.276054166667,0.21608357142857
29195,72,72252,72510,Requeil,requeil,47.785535612903,0.15392483870968
29196,72,72253,72210,Roézé-sur-Sarthe,roeze sur sarthe,47.894811987952,0.07509268072289
29197,72,72254,72610,Rouessé-Fontaine,rouesse fontaine,48.316524851485,0.14376108910891
29198,72,72255,72140,Rouessé-Vassé,rouesse vasse,48.155903616071,-0.19288321428571
29199,72,72256,72140,Rouez,rouez,48.139358466899,-0.11411282229965
29200,72,72257,72700,Rouillon,rouillon,47.998127407407,0.1467937037037
29201,72,72259,72110,Rouperroux-le-Coquet,rouperroux le coquet,48.229593821656,0.43830834394904
29202,72,72260,72230,Ruaudin,ruaudin,47.942887155963,0.27052871559633
29203,72,72261,72240,Ruillé-en-Champagne,ruille en champagne,48.057366359649,-0.12287938596491
29204,72,72262,72310,Loir en Vallée,loir en vallee,47.9794446,0.4549604
29205,72,72262,72340,Loir en Vallée,loir en vallee,47.751049,0.622471
29206,72,72264,72300,Sablé-sur-Sarthe,sable sur sarthe,47.840580472727,-0.35912938181818
29207,72,72265,72110,Saint-Aignan,saint aignan,48.214769862069,0.34649275862069
29208,72,72266,72130,Saint-Aubin-de-Locquenay,saint aubin de locquenay,48.258482692308,0.00958576923077
29209,72,72267,72400,Saint-Aubin-des-Coudrais,saint aubin des coudrais,48.178322384937,0.58991828451883
29210,72,72268,72220,Saint-Biez-en-Belin,saint biez en belin,47.82019773913,0.24043234782609
29211,72,72269,72120,Saint-Calais,saint calais,47.926951446809,0.74834412765957
29212,72,72270,72600,Saint-Calez-en-Saosnois,saint calez en saosnois,48.305818823529,0.31794729411765
29213,72,72271,72110,Saint-Célerin,saint celerin,48.12708987013,0.43404357142857
29214,72,72272,72120,Sainte-Cérotte,sainte cerotte,47.898717176471,0.67974358823529
29215,72,72273,72170,Saint-Christophe-du-Jambet,saint christophe du jambet,48.23380280543,0.06737533936652
29216,72,72274,72540,Saint-Christophe-en-Champagne,saint christophe en champagne,47.962095135135,-0.13782662162162
29217,72,72275,72460,Saint-Corneille,saint corneille,48.077681526316,0.34290452631579
29218,72,72276,72110,Saint-Cosme-en-Vairais,saint cosme en vairais,48.269490385965,0.45554143859649
