,,,,-OISE,,,
23224,60,60256,60240,Fresneaux-Montchevreuil,fresneaux montchevreuil,49.28661264,2.00580568
23225,60,60257,60240,Fresne-Léguillon,fresne leguillon,49.248394392523,1.9900531775701
23226,60,60258,60310,Fresnières,fresnieres,49.624121666667,2.8096611904762
23227,60,60259,60530,Fresnoy-en-Thelle,fresnoy en thelle,49.202157941176,2.2617370588235
23228,60,60260,60127,Fresnoy-la-Rivière,fresnoy la riviere,49.28129352459,2.9229386885246
23229,60,60261,60800,Fresnoy-le-Luat,fresnoy le luat,49.210264333333,2.7651545555555
23230,60,60262,60420,Le Frestoy-Vaux,le frestoy vaux,49.60029893617,2.6063681914894
23231,60,60263,60640,Frétoy-le-Château,fretoy le chateau,49.661965866667,2.9694058666667
23232,60,60264,60000,Frocourt,frocourt,49.379832475248,2.0822764356436
23233,60,60265,60480,Froissy,froissy,49.566482571429,2.2136695714286
23234,60,60267,60360,Le Gallet,le gallet,49.62569484375,2.1105665625
23235,60,60268,60120,Gannes,gannes,49.576208076923,2.4213926923077
23236,60,60269,60210,Gaudechart,gaudechart,49.614823157895,1.9630365789474
23237,60,60270,60400,Genvry,genvry,49.610443448276,2.9924797413793
23238,60,60271,60380,Gerberoy,gerberoy,49.536833855422,1.8419290361446
23239,60,60272,60129,Gilocourt,gilocourt,49.296316634615,2.8869091346154
23240,60,60273,60150,Giraumont,giraumont,49.473482857143,2.8236795238095
23241,60,60274,60129,Glaignes,glaignes,49.272837238095,2.8440868571429
23242,60,60275,60650,Glatigny,glatigny,49.496421494253,1.9001368965517
23243,60,60276,60420,Godenvillers,godenvillers,49.581675116279,2.5457455813953
23244,60,60277,60000,Goincourt,goincourt,49.419668294574,2.0312065116279
23245,60,60278,60640,Golancourt,golancourt,49.702816901408,3.0678083098592
23246,60,60279,60117,Gondreville,gondreville,49.221826574074,2.9464962962963
23247,60,60280,60220,Gourchelles,gourchelles,49.725323636364,1.7775968181818
23248,60,60281,60190,Gournay-sur-Aronde,gournay sur aronde,49.497873529412,2.6879107563025
23249,60,60282,60270,Gouvieux,gouvieux,49.193796538462,2.419146025641
23250,60,60283,60120,Gouy-les-Groseillers,gouy les groseillers,49.697186363636,2.2152629545454
23251,60,60284,60680,Grandfresnoy,grandfresnoy,49.376519684211,2.6554558947368
23252,60,60285,60190,Grandvillers-aux-Bois,grandvillers aux bois,49.466178666667,2.6080108888889
23253,60,60286,60210,Grandvilliers,grandvilliers,49.665428666667,1.9320416666667
23254,60,60287,60400,Grandrû,grandru,49.60864,3.0802398913044
23255,60,60288,60380,Grémévillers,gremevillers,49.56246835443,1.9009981012658
23256,60,60289,60210,Grez,grez,49.63448,1.9760472916667
23257,60,60290,60480,Guignecourt,guignecourt,49.488468405797,2.1280933333333
23258,60,60291,60640,Guiscard,guiscard,49.658591610738,3.0512293288591
23259,60,60292,60310,Gury,gury,49.571024868421,2.8013631578947
23260,60,60293,60240,Hadancourt-le-Haut-Clocher,hadancourt le haut clocher,49.191735192308,1.8477374038462
23261,60,60294,60490,Hainvillers,hainvillers,49.590114098361,2.6806252459016
23262,60,60295,60210,Halloy,halloy,49.653712820513,1.9322551282051
23263,60,60296,60650,Hannaches,hannaches,49.507563445378,1.8067543697479
23264,60,60297,60210,Le Hamel,le hamel,49.648600405405,2.0104201351351
23265,60,60298,60650,Hanvoile,hanvoile,49.508603539823,1.8779754867257
23266,60,60299,60120,Hardivillers,hardivillers,49.62212297619,2.2295667857143
23267,60,60300,60240,Hardivillers-en-Vexin,hardivillers en vexin,49.31195234375,1.9317125
23268,60,60301,60112,Haucourt,haucourt,49.50584425,1.93031075
23269,60,60302,60510,Haudivillers,haudivillers,49.48885453125,2.24532265625
23270,60,60303,60210,Hautbos,hautbos,49.626787272727,1.8680047272727
23271,60,60304,60690,Haute-Épine,haute epine,49.583378611111,2.0127127777778
23272,60,60305,60350,Hautefontaine,hautefontaine,49.36425453125,3.0579734375
23273,60,60306,60380,Hécourt,hecourt,49.52336,1.7805322429907
23274,60,60307,60250,Heilles,heilles,49.33521815534,2.2747765048544
23275,60,60308,60190,Hémévillers,hemevillers,49.471825070423,2.6761578873239
23276,60,60309,60119,Hénonville,henonville,49.211835365854,2.0531785365854
23277,60,60310,60112,Herchies,herchies,49.484861354167,2.0062591666667
23278,60,60311,60120,La Hérelle,la herelle,49.596588636364,2.4183836363636
23279,60,60312,60380,Héricourt-sur-Thérain,hericourt sur therain,49.586966708861,1.7657344303797
23280,60,60313,60370,Hermes,hermes,49.359341567164,2.2546276865672
