,,,,-COTE-D'OR,,,
6983,21,21259,21500,Fain-lès-Montbard,fain les montbard,47.614949489796,4.4070002040816
6984,21,21260,21500,Fain-lès-Moutiers,fain les moutiers,47.580401774194,4.2155353225806
6985,21,21261,21110,Fauverney,fauverney,47.265034078947,5.1489598684211
6986,21,21262,21290,Faverolles-lès-Lucey,faverolles les lucey,47.824383678161,4.8722214942529
6987,21,21263,21600,Fénay,fenay,47.240025517241,5.0522962068965
6988,21,21264,21230,Le Fête,le fete,47.178512553191,4.5095062765957
6989,21,21265,21220,Fixin,fixin,47.25041487395,4.9544289915966
6990,21,21266,21490,Flacey,flacey,47.433644225352,5.1423830985915
6991,21,21267,21640,Flagey-Echézeaux,flagey echezeaux,47.162989527027,4.9750902702703
6992,21,21268,21130,Flagey-lès-Auxonne,flagey les auxonne,47.134948173077,5.3962361538462
6993,21,21269,21130,Flammerans,flammerans,47.228329764706,5.4416604117647
6994,21,21270,21160,Flavignerot,flavignerot,47.276625862069,4.9166701724138
6995,21,21271,21150,Flavigny-sur-Ozerain,flavigny sur ozerain,47.506425257732,4.518646185567
6996,21,21272,21140,Flée,flee,47.445710182927,4.3416688414634
6997,21,21273,21410,Fleurey-sur-Ouche,fleurey sur ouche,47.297902670157,4.8568365445026
6998,21,21274,21230,Foissy,foissy,47.125848192771,4.553259437751
6999,21,21275,21260,Foncegrive,foncegrive,47.616110333333,5.1502316666667
7000,21,21276,21450,Fontaines-en-Duesmois,fontaines en duesmois,47.652525135135,4.5393391891892
7001,21,21277,21610,Fontaine-Française,fontaine francaise,47.52507922179,5.37387692607
7002,21,21278,21121,Fontaine-lès-Dijon,fontaine les dijon,47.347700181818,5.0227725454545
7003,21,21279,21330,Fontaines-les-Sèches,fontaines les seches,47.78502,4.3621442857143
7004,21,21280,21390,Fontangy,fontangy,47.349231458333,4.37865515625
7005,21,21281,21610,Fontenelle,fontenelle,47.502810373832,5.3659768224299
7006,21,21282,21460,Forléans,forleans,47.47100338843,4.2082707438017
7007,21,21283,21580,Fraignot-et-Vesvrotte,fraignot et vesvrotte,47.650906532258,4.9344621774194
7008,21,21284,21440,Francheville,francheville,47.452709804878,4.8726394146341
7009,21,21285,21170,Franxault,franxault,47.051196422018,5.2683350458716
7010,21,21286,21120,Frénois,frenois,47.523906521739,4.8898950241546
7011,21,21287,21500,Fresnes,fresnes,47.605725656566,4.4358973737374
7012,21,21288,21150,Frôlois,frolois,47.531654748201,4.6500248201439
7013,21,21289,21700,Fussey,fussey,47.129590865385,4.8198097115385
7014,21,21290,21120,Gemeaux,gemeaux,47.475695662651,5.1378769277108
7015,21,21291,21140,Genay,genay,47.524349596774,4.2848212096774
7016,21,21292,21110,Genlis,genlis,47.235807572816,5.2218918446602
7017,21,21293,21410,Gergueil,gergueil,47.240059411765,4.814235
7018,21,21294,21700,Gerland,gerland,47.102951497006,5.0249761077844
7019,21,21295,21220,Gevrey-Chambertin,gevrey chambertin,47.219690792683,4.9834688414634
7020,21,21296,21520,Gevrolles,gevrolles,47.99005569697,4.7513462424242
7021,21,21297,21640,Gilly-lès-Cîteaux,gilly les citeaux,47.175973047619,4.9922638095238
7022,21,21298,21350,Gissey-le-Vieil,gissey le vieil,47.325118333333,4.4813627083333
7023,21,21299,21150,Gissey-sous-Flavigny,gissey sous flavigny,47.516877777778,4.5836722222222
7024,21,21300,21410,Gissey-sur-Ouche,gissey sur ouche,47.263343977273,4.7811193181818
7025,21,21301,21250,Glanon,glanon,47.04185390625,5.1091540625
7026,21,21302,21400,Gomméville,gommeville,47.957665809524,4.4865980952381
7027,21,21303,21520,Les Goulles,les goulles,47.882113376623,4.9012372727273
7028,21,21304,21580,Grancey-le-Château-Neuvelle,grancey le chateau neuvelle,47.676282340426,5.0212255744681
7029,21,21305,21570,Grancey-sur-Ource,grancey sur ource,48.004239756098,4.5838095934959
7030,21,21306,21540,Grenant-lès-Sombernon,grenant les sombernon,47.26845325,4.713307125
7031,21,21307,21150,Grésigny-Sainte-Reine,gresigny sainte reine,47.549864845361,4.4987746391753
7032,21,21308,21150,Grignon,grignon,47.556369305556,4.4072470833333
7033,21,21309,21330,Griselles,griselles,47.874990431655,4.3650876258993
7034,21,21310,21540,Grosbois-en-Montagne,grosbois en montagne,47.318672888889,4.5993031111111
7035,21,21311,21250,Grosbois-lès-Tichey,grosbois les tichey,47.008510441176,5.2380301470588
7036,21,21312,21290,Gurgy-la-Ville,gurgy la ville,47.847033272727,4.9451707272727
7037,21,21313,21290,Gurgy-le-Château,gurgy le chateau,47.824203015873,4.9260381746032
7038,21,21314,21150,Hauteroche,hauteroche,47.488896352941,4.5666542941177
7039,21,21315,21121,Hauteville-lès-Dijon,hauteville les dijon,47.376443125,4.98467125
7040,21,21316,21270,Heuilley-sur-Saône,heuilley sur saone,47.336406290323,5.4642055645161
7041,21,21317,21120,Is-sur-Tille,is sur tille,47.530868363636,5.1137538636364
7042,21,21319,21110,Izeure,izeure,47.166120719424,5.1262297122302
7043,21,21320,21110,Izier,izier,47.28577027027,5.1900054054054
7044,21,21321,21150,Jailly-les-Moulins,jailly les moulins,47.462246782609,4.5890026086957
7045,21,21322,21250,Jallanges,jallanges,46.984368918919,5.1707389189189
7046,21,21323,21310,Jancigny,jancigny,47.380991808511,5.4169668617021
7047,21,21324,21460,Jeux-lès-Bard,jeux les bard,47.530134098361,4.2527745901639
7048,21,21325,21230,Jouey,jouey,47.156040692041,4.4385552595156
7049,21,21326,21450,Jours-lès-Baigneux,jours les baigneux,47.627735153846,4.6035835384615
7050,21,21327,21340,Val-Mont,val mont,47.0330128125,4.6144684895833
7051,21,21328,21210,Juillenay,juillenay,47.359730067114,4.2695306040268
7052,21,21329,21140,Juilly,juilly,47.48803890625,4.40170859375
7053,21,21330,21110,Labergement-Foigney,labergement foigney,47.26048057971,5.247942173913
7054,21,21331,21130,Labergement-lès-Auxonne,labergement les auxonne,47.160894098361,5.382588852459
7055,21,21332,21820,Labergement-lès-Seurre,labergement les seurre,46.992359082126,5.090445942029
7056,21,21333,21250,Labruyère,labruyere,47.038809569892,5.1481547311828
7057,21,21334,21230,Lacanche,lacanche,47.079649242424,4.5544406818182
7058,21,21335,21210,Lacour-d'Arcenay,lacour d arcenay,47.362901396648,4.239021396648
7059,21,21336,21330,Laignes,laignes,47.828677356322,4.3661885057471
7060,21,21337,21760,Lamarche-sur-Saône,lamarche sur saone,47.27705319079,5.3713892434211
7061,21,21338,21440,Lamargelle,lamargelle,47.515488969072,4.8358496219931
7062,21,21339,21370,Lantenay,lantenay,47.342156229508,4.8636181147541
7063,21,21340,21250,Lanthes,lanthes,46.996619878049,5.2018424390244
7064,21,21341,21140,Lantilly,lantilly,47.540719655172,4.3767143103448
7065,21,21342,21170,Laperrière-sur-Saône,laperriere sur saone,47.107081785714,5.3471472619048
7066,21,21343,21330,Larrey,larrey,47.893966521739,4.4253888695652
7067,21,21344,21250,Lechâtelet,lechatelet,47.055957241379,5.1389432758621
7068,21,21345,21440,Léry,lery,47.553203956835,4.8502258273381
7069,21,21346,21290,Leuglay,leuglay,47.811551472868,4.8165399224806
7070,21,21347,21200,Levernois,levernois,46.99230673913,4.8727886956522
7071,21,21348,21610,Licey-sur-Vingeanne,licey sur vingeanne,47.484924352941,5.3748888235294
7072,21,21349,21430,Liernais,liernais,47.218393157895,4.2913737320574
7073,21,21350,21520,Lignerolles,lignerolles,47.898736826923,4.8858582692308
7074,21,21351,21110,Longchamp,longchamp,47.262724831461,5.2986893258427
7075,21,21352,21110,Longeault,longeault,47.221095882353,5.2489423529412
