id,department_code,insee_code,zip_code,-AVEYRON,slug,gps_lat,gps_lng
4186,12,12130,12300,Livinhac-le-Haut,livinhac le haut,44.594659082569,2.2020384862385
4187,12,12131,12740,La Loubière,la loubiere,44.38388772549,2.6551541960784
4188,12,12133,12450,Luc-la-Primaube,luc la primaube,44.307635958084,2.5355503293413
4189,12,12134,12220,Lugan,lugan,44.488560921053,2.2546656578947
4190,12,12135,12270,Lunac,lunac,44.24289377193,2.0972325
4191,12,12136,12350,Maleville,maleville,44.397172967742,2.1087970967742
4192,12,12137,12160,Manhac,manhac,44.2561457,2.4816177
4193,12,12138,12330,Marcillac-Vallon,marcillac vallon,44.474863559322,2.4631888700565
4194,12,12139,12540,Marnhagues-et-Latour,marnhagues et latour,43.882993147208,3.0446598477157
4195,12,12140,12200,Martiel,martiel,44.375418326996,1.9161990114068
4196,12,12141,12550,Martrin,martrin,43.929378521739,2.634985
4197,12,12142,12390,Mayran,mayran,44.392293859649,2.3722580701754
4198,12,12143,12360,Mélagues,melagues,43.730415986159,3.0162638754325
4199,12,12144,12120,Meljac,meljac,44.136667261905,2.4327885714286
4200,12,12145,12100,Millau,millau,44.106504408867,3.112309729064
4201,12,12146,12000,Le Monastère,le monastere,44.330279929577,2.5867770422535
4202,12,12147,12360,Montagnol,montagnol,43.833185121951,3.0252581463415
4203,12,12148,12220,Montbazens,montbazens,44.479160933333,2.2167830666667
4204,12,12149,12550,Montclar,montclar,43.982424577778,2.6276511111111
4205,12,12150,12200,Monteils,monteils,44.263510792952,1.989204845815
4206,12,12151,12460,Montézic,montezic,44.713862115385,2.6416872307692
4207,12,12152,12380,Montfranc,montfranc,43.84034352459,2.5830431967213
4208,12,12153,12490,Montjaux,montjaux,44.098252718447,2.9018577669903
4209,12,12154,12400,Montlaur,montlaur,43.868426233333,2.8299238
4210,12,12155,12540,Fondamente,fondamente,43.860066725352,3.1140483098591
4211,12,12156,12210,Montpeyroux,montpeyroux,44.6305183,2.7788975333333
4212,12,12157,12630,Montrozier,montrozier,44.394352649254,2.7209040298507
4213,12,12158,12260,Montsalès,montsales,44.484259417476,1.9795251456311
4214,12,12159,12200,Morlhon-le-Haut,morlhon le haut,44.32183972973,2.0844303783784
4215,12,12160,12720,Mostuéjouls,mostuejouls,44.22987972332,3.1733104347826
4216,12,12161,12330,Mouret,mouret,44.515607229299,2.521231910828
4217,12,12162,12160,Moyrazès,moyrazes,44.329510996169,2.4355857471264
4218,12,12163,12370,Murasson,murasson,43.763247988166,2.7706293195266
4219,12,12164,12600,Mur-de-Barrez,mur de barrez,44.873620064516,2.6833731290323
4220,12,12165,12330,Muret-le-Château,muret le chateau,44.502352727273,2.572631875
4221,12,12166,12600,Murols,murols,44.754774039409,2.574916453202
4222,12,12167,12270,Najac,najac,44.208980344828,1.9649043678161
4223,12,12168,12230,Nant,nant,44.028874350282,3.2961981920904
4224,12,12169,12800,Naucelle,naucelle,44.19148710084,2.3437102521008
4225,12,12170,12700,Naussac,naussac,44.51077208589,2.0969734355828
