,,,,-PYRENEES-ATLANTIQUES,,,
25649,64,64233,64330,Garlin,garlin,43.559112375691,-0.2696826519337
25650,64,64234,64410,Garos,garos,43.508967191781,-0.48187273972603
25651,64,64235,64120,Garris,garris,43.342212391304,-1.0577964130435
25652,64,64236,64350,Gayon,gayon,43.486649130435,-0.16566489130435
25653,64,64237,64110,Gelos,gelos,43.251970821918,-0.36652034246575
25654,64,64238,64530,Ger,ger,43.255034327485,-0.05553894736842
25655,64,64239,64160,Gerderest,gerderest,43.409726842105,-0.17463350877193
25656,64,64240,64260,Gère-Bélesten,gere belesten,43.022533010753,-0.44628021505376
25657,64,64241,64400,Géronce,geronce,43.222429859649,-0.70770677192982
25658,64,64242,64190,Gestas,gestas,43.353590697674,-0.88259348837209
25659,64,64243,64370,Géus-d'Arzacq,geus d arzacq,43.482799181818,-0.52092172727273
25660,64,64244,64400,Geüs-d'Oloron,geus d oloron,43.244947154472,-0.71706178861789
25661,64,64245,64400,Goès,goes,43.21869107438,-0.57735256198347
25662,64,64246,64420,Gomer,gomer,43.248729367089,-0.19495708860759
25663,64,64247,64130,Gotein-Libarrenx,gotein libarrenx,43.188826893204,-0.88907242718447
25664,64,64249,64210,Guéthary,guethary,43.423225869565,-1.6128419565217
25665,64,64250,64520,Guiche,guiche,43.502898571429,-1.2089934415584
25666,64,64251,64390,Guinarthe-Parenties,guinarthe parenties,43.383605789474,-0.94599
25667,64,64252,64400,Gurmençon,gurmencon,43.159810454545,-0.60157681818182
25668,64,64253,64190,Gurs,gurs,43.277198030303,-0.75368113636364
25669,64,64254,64370,Hagetaubin,hagetaubin,43.51447314554,-0.61260093896714
25670,64,64255,64480,Halsou,halsou,43.38925125,-1.40641075
25671,64,64256,64240,Hasparren,hasparren,43.401988911111,-1.3266079333333
25672,64,64257,64800,Haut-de-Bosdarros,haut de bosdarros,43.167347,-0.32275994117647
25673,64,64258,64470,Haux,haux,43.063301948052,-0.83295824675325
25674,64,64259,64640,Hélette,helette,43.305430847458,-1.2375205932203
25675,64,64260,64700,Hendaye,hendaye,43.367666125,-1.7580321875
25676,64,64261,64680,Herrère,herrere,43.159574,-0.5487624
25677,64,64262,64160,Higuères-Souye,higueres souye,43.375386535433,-0.25238834645669
25678,64,64263,64270,L'Hôpital-d'Orion,l hopital d orion,43.443526266667,-0.8535718
25679,64,64264,64130,L'Hôpital-Saint-Blaise,l hopital saint blaise,43.25523147541,-0.77043262295082
25680,64,64265,64120,Hosta,hosta,43.159079130435,-1.0903773913043
25681,64,64266,64420,Hours,hours,43.228240163934,-0.17199475409836
25682,64,64267,64120,Ibarrolle,ibarrolle,43.195691,-1.095196
25683,64,64268,64130,Idaux-Mendy,idaux mendy,43.173075364238,-0.92381794701987
25684,64,64269,64320,Idron,idron,43.2942935,-0.3066692
25685,64,64270,64800,Igon,igon,43.150250674157,-0.23209764044944
25686,64,64271,64640,Iholdy,iholdy,43.278671849711,-1.1775956647399
25687,64,64272,64120,Ilharre,ilharre,43.401631148649,-1.026820472973
25688,64,64273,64780,Irissarry,irissarry,43.264472328767,-1.2408393607306
25689,64,64274,64220,Irouléguy,irouleguy,43.179849317073,-1.2854615609756
25690,64,64275,64220,Ispoure,ispoure,43.186072913386,-1.2372093700787
25691,64,64276,64570,Issor,issor,43.084617826087,-0.66283869565217
25692,64,64277,64240,Isturits,isturits,43.367609387755,-1.2127176530612
25693,64,64279,64250,Itxassou,itxassou,43.318108757062,-1.407509039548
25694,64,64280,64260,Izeste,izeste,43.086370333333,-0.43954333333333
25695,64,64281,64190,Jasses,jasses,43.313145727273,-0.73551145454545
25696,64,64282,64480,Jatxou,jatxou,43.405452008929,-1.4116576785714
25697,64,64283,64220,Jaxu,jaxu,43.201828638298,-1.2081568510638
25698,64,64284,64110,Jurançon,jurancon,43.272299591837,-0.40521959183673
25699,64,64285,64120,Juxue,juxue,43.235140925926,-1.0442390740741
25700,64,64286,64300,Laà-Mondrans,laa mondrans,43.454981796875,-0.771448359375
25701,64,64287,64390,Laàs,laas,43.386918630137,-0.85535698630137
25702,64,64288,64170,Labastide-Cézéracq,labastide cezeracq,43.379464428571,-0.54037828571429
25703,64,64289,64240,La Bastide-Clairence,la bastide clairence,43.428475827338,-1.2290246043166
25704,64,64290,64170,Labastide-Monréjeau,labastide monrejeau,43.388951777778,-0.52494811111111
25705,64,64291,64270,Labastide-Villefranche,labastide villefranche,43.450722946058,-1.0376526556017
25706,64,64292,64530,Labatmale,labatmale,43.181896081081,-0.15014864864865
25707,64,64293,64460,Labatut,labatut,43.418163761468,-0.02070513761468
25708,64,64294,64120,Labets-Biscay,labets biscay,43.388431826087,-1.0661912608696
25709,64,64295,64300,Labeyrie,labeyrie,43.539694660194,-0.63349475728155
25710,64,64296,64300,Lacadée,lacadee,43.527354285714,-0.65489561904762
25711,64,64297,64220,Lacarre,lacarre,43.190175677419,-1.1624099354839
25712,64,64298,64470,Lacarry-Arhan-Charritte-de-Haut,lacarry arhan charritte de haut,43.074004870466,-0.95956875647668
25713,64,64299,64360,Lacommande,lacommande,43.276377717391,-0.5053175
25714,64,64300,64170,Lacq,lacq,43.427471415929,-0.60689132743363
25715,64,64301,64150,Lagor,lagor,43.380164716981,-0.66940617924528
25716,64,64302,64800,Lagos,lagos,43.210331333333,-0.22895522222222
25717,64,64303,64470,Laguinge-Restoue,laguinge restoue,43.100960697674,-0.8443036627907
25718,64,64304,64990,Lahonce,lahonce,43.480785227273,-1.3973659090909
25719,64,64305,64270,Lahontan,lahontan,43.524457986577,-0.96989087248322
25720,64,64306,64150,Lahourcade,lahourcade,43.354879736842,-0.62870026315789
25721,64,64307,64350,Lalongue,lalongue,43.480244805195,-0.19037538961039
25722,64,64308,64450,Lalonquette,lalonquette,43.493837980769,-0.31183221153846
25723,64,64309,64460,Lamayou,lamayou,43.386701588785,-0.02923327102804
25724,64,64310,64570,Lanne-en-Barétous,lanne en baretous,43.080397876448,-0.78477185328185
25725,64,64311,64350,Lannecaube,lannecaube,43.481081689189,-0.21527452702703
25726,64,64312,64300,Lanneplaà,lanneplaa,43.459045631068,-0.82799805825243
25727,64,64313,64640,Lantabat,lantabat,43.276187884615,-1.1211478205128
