id,department_code,insee_code,zip_code,-SEINE-ET-MARNE,slug,gps_lat,gps_lng
31128,77,77514,77270,Villeparisis,villeparisis,48.937130882353,2.6195497058824
31129,77,77515,77410,Villeroy,villeroy,48.987633103448,2.7741470689655
31130,77,77516,77130,Ville-Saint-Jacques,ville saint jacques,48.344725294118,2.8998626470588
31131,77,77517,77410,Villevaudé,villevaude,48.914197768595,2.662068677686
31132,77,77518,77190,Villiers-en-Bière,villiers en biere,48.491973103448,2.597595862069
31133,77,77519,77560,Villiers-Saint-Georges,villiers saint georges,48.651517105263,3.4167022368421
31134,77,77520,77760,Villiers-sous-Grez,villiers sous grez,48.315582181818,2.6316161818182
31135,77,77521,77580,Villiers-sur-Morin,villiers sur morin,48.852719677419,2.8702655913979
31136,77,77522,77114,Villiers-sur-Seine,villiers sur seine,48.459293045685,3.3831723350254
31137,77,77523,77480,Villuis,villuis,48.397956326531,3.3579824489796
31138,77,77524,77520,Vimpelles,vimpelles,48.439414444444,3.1686667361111
31139,77,77525,77230,Vinantes,vinantes,49.0033025,2.7419254166667
31140,77,77526,77139,Vincy-Manœuvre,vincy manoeuvre,49.077635301205,2.9548462650602
31141,77,77527,77540,Voinsles,voinsles,48.683294259259,3.0143726851852
31142,77,77528,77950,Voisenon,voisenon,48.569524418605,2.6627260465116
31143,77,77529,77580,Voulangis,voulangis,48.844105128205,2.8954158974359
31144,77,77530,77560,Voulton,voulton,48.616572909091,3.3334492727273
31145,77,77531,77940,Voulx,voulx,48.28310504,2.97139592
31146,77,77532,77160,Vulaines-lès-Provins,vulaines les provins,48.560297282609,3.2155583695652
31147,77,77533,77870,Vulaines-sur-Seine,vulaines sur seine,48.429474461538,2.7778790769231
31148,77,77534,77390,Yèbles,yebles,48.639496538462,2.7677819230769
