,,,,-ILE-ET-VILAINE,,,
13767,35,35317,35630,Saint-Symphorien,saint symphorien,48.280035892857,-1.8016627678571
13768,35,35318,35190,Saint-Thual,saint thual,48.339334198473,-1.9250620610687
13769,35,35319,35310,Saint-Thurial,saint thurial,48.034330135135,-1.9380379279279
13770,35,35320,35360,Saint-Uniac,saint uniac,48.169626633663,-2.0354105940594
13771,35,35321,35320,Saulnières,saulnieres,47.916736847826,-1.5785747826087
13772,35,35322,35320,Le Sel-de-Bretagne,le sel de bretagne,47.897563823529,-1.6058084313726
13773,35,35324,35133,La Selle-en-Luitré,la selle en luitre,48.323626958525,-1.1525631336405
13774,35,35325,35130,La Selle-Guerchaise,la selle guerchaise,47.9428236,-1.171517
13775,35,35326,35490,Sens-de-Bretagne,sens de bretagne,48.347364142259,-1.5476409205021
13776,35,35327,35530,Servon-sur-Vilaine,servon sur vilaine,48.122866215139,-1.4608703984064
13777,35,35328,35550,Sixt-sur-Aff,sixt sur aff,47.770722202797,-2.0506166433566
13778,35,35329,35610,Sougéal,sougeal,48.501059942857,-1.5132492571429
13779,35,35330,35500,Taillis,taillis,48.183128388626,-1.2409053554502
13780,35,35331,35160,Talensac,talensac,48.093342760181,-1.9249885972851
13781,35,35332,35620,Teillay,teillay,47.804278705357,-1.5175681696429
13782,35,35333,35240,Le Theil-de-Bretagne,le theil de bretagne,47.920690607735,-1.4169142541436
13783,35,35334,35235,Thorigné-Fouillard,thorigne fouillard,48.150165,-1.5844875824176
13784,35,35335,35134,Thourie,thourie,47.848516539509,-1.4608541961853
13785,35,35336,35460,Le Tiercent,le tiercent,48.348317938931,-1.4207657251908
13786,35,35337,35190,Tinténiac,tinteniac,48.32231805668,-1.829615708502
13787,35,35338,35370,Torcé,torce,48.061310372671,-1.2711102484472
13788,35,35339,35610,Trans-la-Forêt,trans la foret,48.488378253012,-1.6049511445783
13789,35,35340,35380,Treffendel,treffendel,48.03106982906,-2.0094246581197
13790,35,35341,35460,Tremblay,tremblay,48.421053855072,-1.4557657971015
