id,department_code,insee_code,zip_code,-CANTAL,slug,gps_lat,gps_lng
5118,15,15073,15110,Fridefont,fridefont,44.904580728745,3.0941789878542
5119,15,15074,15130,Giou-de-Mamou,giou de mamou,44.935209198966,2.5078519638243
5120,15,15075,15310,Girgols,girgols,45.047671617162,2.5130538283828
5121,15,15076,15150,Glénat,glenat,44.895734351145,2.1731679389313
5122,15,15077,15230,Gourdièges,gourdieges,44.944028489209,2.8793085611511
5123,15,15078,15110,Jabrun,jabrun,44.801043988439,2.9600374277457
5124,15,15079,15200,Jaleyrac,jaleyrac,45.267980089021,2.3634883382789
5125,15,15080,15170,Joursac,joursac,45.161083343949,3.0182379299363
5126,15,15081,15800,Jou-sous-Monjou,jou sous monjou,44.940594755556,2.6609534222222
5127,15,15082,15120,Junhac,junhac,44.693230242424,2.4478333030303
5128,15,15083,15250,Jussac,jussac,44.994566530172,2.4178515732759
5129,15,15084,15120,Labesserette,labesserette,44.742484275862,2.4755799310345
5130,15,15085,15130,Labrousse,labrousse,44.852973682432,2.552827027027
5131,15,15086,15230,Lacapelle-Barrès,lacapelle barres,44.950077154472,2.7255349593496
5132,15,15087,15120,Lacapelle-del-Fraisse,lacapelle del fraisse,44.771543529412,2.4276862032086
5133,15,15088,15150,Lacapelle-Viescamp,lacapelle viescamp,44.928815550661,2.272422246696
5134,15,15089,15120,Ladinhac,ladinhac,44.765580345912,2.5139272641509
5135,15,15090,15130,Lafeuillade-en-Vézie,lafeuillade en vezie,44.796418109453,2.4498906467662
5136,15,15091,15160,Landeyrat,landeyrat,45.268433040936,2.8686156140351
5137,15,15092,15270,Lanobre,lanobre,45.437635180723,2.5662889156626
5138,15,15093,15120,Lapeyrugue,lapeyrugue,44.729808265306,2.5366552040816
5139,15,15094,15150,Laroquebrou,laroquebrou,44.972609608696,2.1926249130435
5140,15,15095,15250,Laroquevieille,laroquevieille,45.0258888,2.5268737090909
5141,15,15096,15590,Lascelle,lascelle,45.029773100304,2.5734685410334
5142,15,15097,15500,Lastic,lastic,45.11489622093,3.2226833430233
5143,15,15098,15500,Laurie,laurie,45.284661933333,3.0859463333333
5144,15,15100,15300,Laveissenet,laveissenet,45.079391233333,2.8890808333333
5145,15,15101,15300,Laveissière,laveissiere,45.100329328859,2.795927114094
5146,15,15102,15300,Lavigerie,lavigerie,45.133850247934,2.7443703305785
5147,15,15103,15120,Leucamp,leucamp,44.786399073171,2.5351105853658
5148,15,15104,15600,Leynhac,leynhac,44.739806314363,2.2810353387534
5149,15,15105,43450,Leyvaux,leyvaux,45.325213245283,3.0887830188679
5150,15,15106,15110,Lieutadès,lieutades,44.827598534202,2.9003195765472
5151,15,15107,15320,Lorcières,lorcieres,44.956862008929,3.27940875
5152,15,15108,15320,Val d'Arcomie,val d arcomie,44.920462265446,3.1726786956522
5153,15,15110,15190,Lugarde,lugarde,45.285054710744,2.7589449586777
5154,15,15111,15210,Madic,madic,45.369671081081,2.4611215540541
5155,15,15112,15230,Malbo,malbo,44.97103759375,2.75326784375
5156,15,15113,15590,Mandailles-Saint-Julien,mandailles saint julien,45.0741920625,2.6491464375
5157,15,15114,15190,Marcenat,marcenat,45.317603209607,2.8408189737991
5158,15,15116,15400,Marchastel,marchastel,45.269095662983,2.7348740055249
5159,15,15117,15220,Marcolès,marcoles,44.776689773157,2.3503312287335
