,,,,-ORNE,,,
23858,61,61256,61570,Médavy,medavy,48.673961648352,0.08334351648352
23859,61,61257,61410,Méhoudin,mehoudin,48.506535979381,-0.38038257731959
23860,61,61258,61170,Le Mêle-sur-Sarthe,le mele sur sarthe,48.510694318182,0.35377227272727
23861,61,61259,61270,Le Ménil-Bérard,le menil berard,48.709882380952,0.51648857142857
23862,61,61260,61220,Le Ménil-de-Briouze,le menil de briouze,48.666578055556,-0.39472094444444
23863,61,61261,61250,Le Ménil-Broût,le menil brout,48.479836421053,0.23737494736842
23864,61,61262,61800,Le Ménil-Ciboult,le menil ciboult,48.759263368421,-0.78974136842105
23865,61,61263,61250,Ménil-Erreux,menil erreux,48.512425052083,0.18976208333333
23866,61,61264,61240,Ménil-Froger,menil froger,48.730753888889,0.26737366666667
23867,61,61265,61210,Ménil-Gondouin,menil gondouin,48.756645,-0.29963587837838
23868,61,61266,61170,Le Ménil-Guyon,le menil guyon,48.579529078947,0.29635578947368
23869,61,61267,61210,Ménil-Hermei,menil hermei,48.829841707317,-0.31729227642276
23870,61,61268,61230,Ménil-Hubert-en-Exmes,menil hubert en exmes,48.803850128205,0.22778076923077
23871,61,61269,61430,Ménil-Hubert-sur-Orne,menil hubert sur orne,48.845902992701,-0.41334226277372
23872,61,61271,61320,Le Ménil-Scelleur,le menil scelleur,48.615431239669,-0.1281041322314
23873,61,61272,61240,Le Ménil-Vicomte,le menil vicomte,48.744804714286,0.29277428571429
23874,61,61273,61210,Ménil-Vin,menil vin,48.846309205298,-0.31959774834437
23875,61,61274,61290,Les Menus,les menus,48.520579924812,0.93488977443609
23876,61,61275,61240,Le Merlerault,le merlerault,48.696084825871,0.27947592039801
23877,61,61276,61160,Merri,merri,48.84973984252,-0.0437625984252
23878,61,61277,61560,La Mesnière,la mesniere,48.523819354839,0.43308184331797
23879,61,61278,61440,Messei,messei,48.715978626374,-0.53114148351648
23880,61,61279,61250,Mieuxcé,mieuxce,48.411902406015,-0.00326360902256
23881,61,61281,61800,Moncy,moncy,48.836087653061,-0.6765137755102
23882,61,61283,61160,Montabard,montabard,48.811247326733,-0.08102544554455
23883,61,61284,61170,Montchevrel,montchevrel,48.583616306818,0.33368551136364
23884,61,61286,61360,Montgaudry,montgaudry,48.413543806452,0.39670083870968
23885,61,61287,61100,Montilly-sur-Noireau,montilly sur noireau,48.811636524823,-0.57056418439716
23886,61,61288,61570,Montmerrei,montmerrei,48.628061888112,0.03781293706294
23887,61,61289,61160,Mont-Ormel,mont ormel,48.836654237288,0.15112694915254
23888,61,61290,61210,Montreuil-au-Houlme,montreuil au houlme,48.680250967742,-0.26008408602151
23889,61,61291,61160,Montreuil-la-Cambe,montreuil la cambe,48.884348482143,0.03385071428571
23890,61,61292,61800,Montsecret-Clairefougère,montsecret clairefougere,48.799395688889,-0.67425991111111
23891,61,61293,61400,Mortagne-au-Perche,mortagne au perche,48.521462589286,0.55924875
23892,61,61294,61570,Mortrée,mortree,48.642102969283,0.08295273037543
23893,61,61295,61600,La Motte-Fouquet,la motte fouquet,48.569475232558,-0.26958941860465
23894,61,61297,61380,Moulins-la-Marche,moulins la marche,48.64908538961,0.47419746753247
23895,61,61298,61200,Moulins-sur-Orne,moulins sur orne,48.753383109244,-0.06200210084034
23896,61,61300,61110,Moutiers-au-Perche,moutiers au perche,48.482929782609,0.85617483695652
23897,61,61301,61500,Neauphe-sous-Essai,neauphe sous essai,48.562152727273,0.1927801010101
23898,61,61302,61160,Neauphe-sur-Dive,neauphe sur dive,48.849016577181,0.09207456375839
23899,61,61303,61160,Nécy,necy,48.830602871287,-0.11823455445545
23900,61,61304,61250,Neuilly-le-Bisson,neuilly le bisson,48.502420961538,0.22362692307692
23901,61,61307,61120,Neuville-sur-Touques,neuville sur touques,48.867108770492,0.28030049180328
23902,61,61308,61210,Neuvy-au-Houlme,neuvy au houlme,48.823066778243,-0.20154209205021
23903,61,61309,61340,Perche en Nocé,perche en noce,48.360084054054,0.69590358558559
23904,61,61310,61240,Nonant-le-Pin,nonant le pin,48.706270114286,0.20834862857143
23905,61,61314,61200,Occagnes,occagnes,48.781351408451,-0.06617112676056
23906,61,61316,61160,Ommoy,ommoy,48.855716126761,-0.02591542253521
23907,61,61317,61230,Orgères,orgeres,48.751027864583,0.34476598958333
23908,61,61319,61130,Origny-le-Roux,origny le roux,48.333232427746,0.42068
23909,61,61321,61250,Pacé,pace,48.446210853659,-0.00143048780488
23910,61,61322,61400,Parfondeval,parfondeval,48.478857254902,0.50399745098039
23911,61,61323,61290,Le Pas-Saint-l'Homer,le pas saint l homer,48.494068191489,0.92768255319149
23912,61,61324,61350,Passais Villages,passais villages,48.48809446184,-0.76695542074364
23913,61,61326,61700,Perrou,perrou,48.576122982456,-0.54958842105263
23914,61,61327,61360,Pervenchères,pervencheres,48.443005275362,0.39923426086956
23915,61,61328,61310,Le Pin-au-Haras,le pin au haras,48.750408255034,0.13832624161074
23916,61,61329,61400,Le Pin-la-Garenne,le pin la garenne,48.444204228188,0.54943067114094
23917,61,61330,61370,Planches,planches,48.690999130435,0.37761364130435
23918,61,61331,61170,Le Plantis,le plantis,48.604241278195,0.39789578947368
23919,61,61332,61220,Pointel,pointel,48.700247032967,-0.34517730769231
23920,61,61333,61120,Pontchardon,pontchardon,48.92991816092,0.26612827586207
23921,61,61336,61130,Pouvrai,pouvrai,48.280800238095,0.51792928571429
23922,61,61339,61210,Putanges-le-Lac,putanges le lac,48.768430361664,-0.29948159132007
23923,61,61341,61250,Écouves,ecouves,48.510133506494,0.10770727272727
23924,61,61342,61270,Rai,rai,48.753111156069,0.5540563583815
23925,61,61344,61150,Rânes,ranes,48.640944911504,-0.22038592920354
23926,61,61345,61110,Rémalard en Perche,remalard en perche,48.429839569892,0.75840311827957
23927,61,61346,61120,Le Renouard,le renouard,48.923518257576,0.1009821969697
23928,61,61347,61230,Résenlieu,resenlieu,48.791945238095,0.28231257142857
23929,61,61348,61400,Réveillon,reveillon,48.476605526316,0.56205657894737
23930,61,61349,61210,Ri,ri,48.787700864198,-0.13880901234568
23931,61,61350,61420,La Roche-Mabile,la roche mabile,48.488655796178,-0.06403554140127
23932,61,61351,61120,Roiville,roiville,48.876733728814,0.23141542372881
23933,61,61352,61160,Rônai,ronai,48.810577297297,-0.13413243243243
23934,61,61357,61320,Rouperroux,rouperroux,48.546274351852,-0.08103537037037
23935,61,61358,61200,Sai,sai,48.740576231884,0.02279898550725
23936,61,61360,61170,Saint-Agnan-sur-Sarthe,saint agnan sur sarthe,48.620946178862,0.42986024390244
23937,61,61361,61220,Saint-André-de-Briouze,saint andre de briouze,48.730616705882,-0.32853647058824
23938,61,61362,61440,Saint-André-de-Messei,saint andre de messei,48.691705271318,-0.51851108527132
23939,61,61363,61380,Saint-Aquilin-de-Corbion,saint aquilin de corbion,48.642303676471,0.53319823529412
23940,61,61365,61170,Saint-Aubin-d'Appenai,saint aubin d appenai,48.543858787879,0.3327803030303
23941,61,61366,61470,Saint-Aubin-de-Bonneval,saint aubin de bonneval,48.945868316832,0.36668089108911
23942,61,61367,61560,Saint-Aubin-de-Courteraie,saint aubin de courteraie,48.611336405229,0.4529677124183
23943,61,61369,61700,Saint-Bômer-les-Forges,saint bomer les forges,48.648339356568,-0.62069249329759
23944,61,61370,61700,Saint-Brice,saint brice,48.552327033898,-0.64176559322034
23945,61,61371,61150,Saint-Brice-sous-Rânes,saint brice sous ranes,48.681142826087,-0.19295297101449
23946,61,61372,61250,Saint-Céneri-le-Gérei,saint ceneri le gerei,48.388151685393,-0.04081337078652
23947,61,61373,61380,Sainte-Céronne-lès-Mortagne,sainte ceronne les mortagne,48.590322654321,0.52806345679012
23948,61,61374,61800,Saint-Christophe-de-Chaulieu,saint christophe de chaulieu,48.738330485437,-0.83393708737864
23949,61,61375,61570,Boischampré,boischampre,48.683355629921,0.01202251968504
23950,61,61376,61490,Saint-Clair-de-Halouze,saint clair de halouze,48.683935411765,-0.63314264705882
23951,61,61379,61130,Saint-Cyr-la-Rosière,saint cyr la rosiere,48.319158615385,0.64614
23952,61,61381,61400,Saint-Denis-sur-Huisne,saint denis sur huisne,48.470715,0.53070357142857
23953,61,61382,61420,Saint-Denis-sur-Sarthon,saint denis sur sarthon,48.455163756614,-0.04221317460317
23954,61,61383,61320,Saint-Didier-sous-Écouves,saint didier sous ecouves,48.533843363636,-0.05245836363636
23955,61,61384,61320,Saint-Ellier-les-Bois,saint ellier les bois,48.523478830409,-0.09172409356725
23956,61,61385,61230,Saint-Evroult-de-Montfort,saint evroult de montfort,48.811087,0.31622888888889
23957,61,61386,61550,Saint-Evroult-Notre-Dame-du-Bois,saint evroult notre dame du bois,48.786546115942,0.453812
23958,61,61387,61350,Saint-Fraimbault,saint fraimbault,48.49779340249,-0.71810526970954
23959,61,61388,61130,Saint-Fulgent-des-Ormes,saint fulgent des ormes,48.32116168,0.45067616
23960,61,61389,61370,Sainte-Gauburge-Sainte-Colombe,sainte gauburge sainte colombe,48.714156363636,0.44155209090909
23961,61,61390,61600,Saint-Georges-d'Annebecq,saint georges d annebecq,48.626007304348,-0.26726608695652
23962,61,61391,61100,Saint-Georges-des-Groseillers,saint georges des groseillers,48.771279615385,-0.56969237179487
23963,61,61392,61470,Saint-Germain-d'Aunay,saint germain d aunay,48.928084210526,0.37873515789474
23964,61,61393,61240,Saint-Germain-de-Clairefeuille,saint germain de clairefeuille,48.730304673913,0.23391597826087
23965,61,61394,61130,Saint-Germain-de-la-Coudre,saint germain de la coudre,48.264595954198,0.59616923664122
23966,61,61395,61110,Saint-Germain-des-Grois,saint germain des grois,48.403573416667,0.81667825
23967,61,61396,61560,Saint-Germain-de-Martigny,saint germain de martigny,48.58739551282,0.46865974358974
23968,61,61397,61000,Saint-Germain-du-Corbéis,saint germain du corbeis,48.416481182796,0.05998924731183
23969,61,61398,61390,Saint-Germain-le-Vieux,saint germain le vieux,48.612441,0.311573
23970,61,61399,61160,Saint-Gervais-des-Sablons,saint gervais des sablons,48.903010933333,0.07395133333333
23971,61,61400,61500,Saint-Gervais-du-Perron,saint gervais du perron,48.534266415094,0.15849314465409
23972,61,61401,61700,Saint-Gilles-des-Marais,saint gilles des marais,48.586201168831,-0.69822727272727
23973,61,61402,61220,Saint-Hilaire-de-Briouze,saint hilaire de briouze,48.707610622407,-0.31304178423237
23974,61,61403,61500,Saint-Hilaire-la-Gérard,saint hilaire la gerard,48.59159376,0.0547524
23975,61,61404,61400,Saint-Hilaire-le-Châtel,saint hilaire le chatel,48.558378663102,0.54552486631016
23976,61,61405,61340,Saint-Hilaire-sur-Erre,saint hilaire sur erre,48.310533793103,0.74730679802956
23977,61,61406,61270,Saint-Hilaire-sur-Risle,saint hilaire sur risle,48.727332616279,0.51272488372093
23978,61,61407,61430,Sainte-Honorine-la-Chardonne,sainte honorine la chardonne,48.825716551724,-0.47758349753695
23979,61,61408,61210,Sainte-Honorine-la-Guillaume,sainte honorine la guillaume,48.778236716418,-0.38307313432836
23980,61,61411,61360,Saint-Jouin-de-Blavou,saint jouin de blavou,48.448608756219,0.47764383084577
23981,61,61412,61170,Saint-Julien-sur-Sarthe,saint julien sur sarthe,48.49265852459,0.36859480874317
23982,61,61413,61160,Saint-Lambert-sur-Dive,saint lambert sur dive,48.829956198347,0.08974727272727
23983,61,61414,61400,Saint-Langis-lès-Mortagne,saint langis les mortagne,48.511270645161,0.53413596774194
23984,61,61415,61170,Saint-Léger-sur-Sarthe,saint leger sur sarthe,48.492487291667,0.31541425
23985,61,61416,61390,Saint-Léonard-des-Parcs,saint leonard des parcs,48.646431198157,0.27798622119816
23986,61,61418,61400,Saint-Mard-de-Réno,saint mard de reno,48.513709508197,0.62978508196721
23987,61,61419,61320,Sainte-Marguerite-de-Carrouges,sainte marguerite de carrouges,48.595097962963,-0.1505837962963
