,,,,-GARD,,,
11350,30,30189,30900,Nîmes,nimes,43.8333998,4.3256918
11351,30,30190,30570,Notre-Dame-de-la-Rouvière,notre dame de la rouviere,44.05825301676,3.7104690502793
11352,30,30191,30200,Orsan,orsan,44.135239895833,4.6610003125
11353,30,30192,30260,Orthoux-Sérignac-Quilhan,orthoux serignac quilhan,43.883683088235,4.0395504411765
11354,30,30193,30730,Parignargues,parignargues,43.868295084746,4.2129122033898
11355,30,30194,30160,Peyremale,peyremale,44.2993121,4.0570276
11356,30,30195,30124,Peyrolles,peyrolles,44.106432966102,3.8288560169492
11357,30,30196,30330,Le Pin,le pin,44.091891978022,4.5345886813187
11358,30,30197,30340,Les Plans,les plans,44.143770806452,4.21173
11359,30,30198,30122,Les Plantiers,les plantiers,44.110389014085,3.7130530985915
11360,30,30199,30120,Pommiers,pommiers,43.945851565217,3.6218239130435
11361,30,30200,30170,Pompignan,pompignan,43.885627444444,3.8585863333333
11362,30,30201,30450,Ponteils-et-Brésis,ponteils et bresis,44.39718744,3.96671304
11363,30,30202,30130,Pont-Saint-Esprit,pont saint esprit,44.249921041667,4.6352403125
11364,30,30203,30530,Portes,portes,44.264408689655,4.0400031034483
11365,30,30204,30500,Potelières,potelieres,44.225448831169,4.2200314285714
11366,30,30205,30330,Pougnadoresse,pougnadoresse,44.095305666667,4.509921
11367,30,30206,30320,Poulx,poulx,43.915899589041,4.4177375342466
11368,30,30207,30210,Pouzilhac,pouzilhac,44.038123737374,4.5786801010101
11369,30,30208,30610,Puechredon,puechredon,43.94606490566,4.0585060377359
11370,30,30209,30131,Pujaut,pujaut,44.00243,4.7792472580645
11371,30,30210,30260,Quissac,quissac,43.918481854839,3.9899856048387
11372,30,30211,30129,Redessan,redessan,43.831103684211,4.5128859649123
11373,30,30212,30210,Remoulins,remoulins,43.944153333333,4.5653631481482
11374,30,30213,30750,Revens,revens,44.094255828877,3.3059112834225
11375,30,30214,30720,Ribaute-les-Tavernes,ribaute les tavernes,44.041420568182,4.0860751136364
11376,30,30215,30430,Rivières,rivieres,44.217637037037,4.2858255555556
11377,30,30216,30160,Robiac-Rochessadoule,robiac rochessadoule,44.270177857143,4.1030878571429
11378,30,30217,30650,Rochefort-du-Gard,rochefort du gard,43.980308201439,4.6716466906475
11379,30,30218,30430,Rochegude,rochegude,44.24305929078,4.2785759574468
11380,30,30219,30120,Rogues,rogues,43.869222240437,3.5612678688525
11381,30,30220,30440,Roquedur,roquedur,43.97614775,3.6640795833333
11382,30,30221,30150,Roquemaure,roquemaure,44.040347704918,4.7611918852459
11383,30,30222,30200,La Roque-sur-Cèze,la roque sur ceze,44.186801521739,4.5199430434783
11384,30,30223,30340,Rousson,rousson,44.200161758794,4.1508534170854
11385,30,30224,30190,La Rouvière,la rouviere,43.924076428571,4.2390478571429
11386,30,30225,30200,Sabran,sabran,44.150278191489,4.5509753723404
11387,30,30226,30130,Saint-Alexandre,saint alexandre,44.223006923077,4.6355164957265
11388,30,30227,30500,Saint-Ambroix,saint ambroix,44.248976491228,4.1974760233918
11389,30,30228,30190,Sainte-Anastasie,sainte anastasie,43.927324171123,4.3508995721925
11390,30,30229,30570,Saint-André-de-Majencoules,saint andre de majencoules,44.025877732558,3.6768152906977
11391,30,30230,30630,Saint-André-de-Roquepertuis,saint andre de roquepertuis,44.238382745098,4.446013006536
11392,30,30231,30940,Saint-André-de-Valborgne,saint andre de valborgne,44.145214863014,3.6912288356164
11393,30,30232,30330,Saint-André-d'Olérargues,saint andre d olerargues,44.168964259259,4.500032962963
11394,30,30233,30730,Saint-Bauzély,saint bauzely,43.919834146341,4.1948851219512
11395,30,30234,30350,Saint-Bénézet,saint benezet,43.993099302326,4.1330881395349
11396,30,30235,30210,Saint-Bonnet-du-Gard,saint bonnet du gard,43.931315116279,4.5359781395349
11397,30,30236,30460,Saint-Bonnet-de-Salendrinque,saint bonnet de salendrinque,44.036433857143,3.8705728571429
11398,30,30237,30500,Saint-Brès,saint bres,44.280914173913,4.1942046086957
11399,30,30238,30440,Saint-Bresson,saint bresson,43.954265196078,3.6461734313726
11400,30,30239,30110,Sainte-Cécile-d'Andorge,sainte cecile d andorge,44.258660604027,3.9794189932886
11401,30,30240,30360,Saint-Césaire-de-Gauzignan,saint cesaire de gauzignan,44.038243013699,4.2013282191781
11402,30,30241,30190,Saint-Chaptes,saint chaptes,43.968066538462,4.2740148717949
11403,30,30242,30760,Saint-Christol-de-Rodières,saint christol de rodieres,44.262736315789,4.5177326315789
11404,30,30243,30380,Saint-Christol-lès-Alès,saint christol les ales,44.087265903614,4.0740407831325
11405,30,30244,30260,Saint-Clément,saint clement,43.825422954545,4.0277052272727
11406,30,30245,30870,Saint-Côme-et-Maruéjols,saint come et maruejols,43.8224025,4.1980073
11407,30,30246,30460,Sainte-Croix-de-Caderle,sainte croix de caderle,44.07062,3.869884953271
11408,30,30247,30500,Saint-Denis,saint denis,44.238579310345,4.2476660344828
11409,30,30248,30190,Saint-Dézéry,saint dezery,43.997629411765,4.2643473529412
11410,30,30249,30980,Saint-Dionisy,saint dionisy,43.804497088608,4.2227097468354
11411,30,30250,30360,Saint-Étienne-de-l'Olm,saint etienne de l olm,44.061286511628,4.1837612790698
11412,30,30251,30200,Saint-Étienne-des-Sorts,saint etienne des sorts,44.18096147541,4.6990591803279
11413,30,30252,30140,Saint-Félix-de-Pallières,saint felix de pallieres,44.026263267974,3.9258379084967
11414,30,30253,30960,Saint-Florent-sur-Auzonnet,saint florent sur auzonnet,44.235588727273,4.1039201818182
11415,30,30254,30150,Saint-Geniès-de-Comolas,saint genies de comolas,44.071664929577,4.7237490140845
11416,30,30255,30190,Saint-Geniès-de-Malgoirès,saint genies de malgoires,43.943858602151,4.2137786021505
11417,30,30256,30200,Saint-Gervais,saint gervais,44.194388493151,4.580481369863
11418,30,30257,30320,Saint-Gervasy,saint gervasy,43.873089166667,4.4697561111111
11419,30,30258,30800,Saint-Gilles,saint gilles,43.657500851064,4.4230740425532
11420,30,30259,30560,Saint-Hilaire-de-Brethmas,saint hilaire de brethmas,44.097465,4.1247065789474
11421,30,30260,30210,Saint-Hilaire-d'Ozilhan,saint hilaire d ozilhan,43.970855405405,4.5996667567568
11422,30,30261,30360,Saint-Hippolyte-de-Caton,saint hippolyte de caton,44.069507654321,4.2011464197531
11423,30,30262,30700,Saint-Hippolyte-de-Montaigu,saint hippolyte de montaigu,44.031880961538,4.4941626923077
11424,30,30263,30170,Saint-Hippolyte-du-Fort,saint hippolyte du fort,43.959947471264,3.8495498275862
11425,30,30264,30360,Saint-Jean-de-Ceyrargues,saint jean de ceyrargues,44.055766862745,4.224312745098
11426,30,30265,30610,Saint-Jean-de-Crieulon,saint jean de crieulon,43.965970175439,4.0015685964912
11427,30,30266,30430,Saint-Jean-de-Maruéjols-et-Avéjan,saint jean de maruejols et avejan,44.265377602339,4.2957978947368
11428,30,30267,30350,Saint-Jean-de-Serres,saint jean de serres,43.988050144928,4.0735160869565
11429,30,30268,30960,Saint-Jean-de-Valériscle,saint jean de valeriscle,44.233773298969,4.1420794845361
11430,30,30269,30270,Saint-Jean-du-Gard,saint jean du gard,44.108576321429,3.8788921785714
11431,30,30270,30140,Saint-Jean-du-Pin,saint jean du pin,44.119891971831,4.0327721126761
11432,30,30271,30500,Saint-Julien-de-Cassagnas,saint julien de cassagnas,44.213225217391,4.2044044927536
11433,30,30272,30440,Saint-Julien-de-la-Nef,saint julien de la nef,43.962420461538,3.6836961538461
11434,30,30273,30760,Saint-Julien-de-Peyrolas,saint julien de peyrolas,44.284825267857,4.5665147321429
11435,30,30274,30340,Saint-Julien-les-Rosiers,saint julien les rosiers,44.195010860927,4.095767218543
11436,30,30275,30580,Saint-Just-et-Vacquières,saint just et vacquieres,44.095807209302,4.2364008527132
11437,30,30276,30220,Saint-Laurent-d'Aigouze,saint laurent d aigouze,43.579502389937,4.2392430188679
11438,30,30277,30200,Saint-Laurent-de-Carnols,saint laurent de carnols,44.229337819549,4.5288145864662
11439,30,30278,30126,Saint-Laurent-des-Arbres,saint laurent des arbres,44.049455505618,4.6854313483146
11440,30,30279,30330,Saint-Laurent-la-Vernède,saint laurent la vernede,44.114031616162,4.4677723232323
11441,30,30280,30440,Saint-Laurent-le-Minier,saint laurent le minier,43.926636666667,3.6518431707317
11442,30,30281,30730,Saint-Mamert-du-Gard,saint mamert du gard,43.8855656,4.183664
11443,30,30282,30330,Saint-Marcel-de-Careiret,saint marcel de careiret,44.142905420561,4.4864613084112
11444,30,30283,30440,Saint-Martial,saint martial,44.036565209581,3.7469107185629
11445,30,30284,30520,Saint-Martin-de-Valgalgues,saint martin de valgalgues,44.163682642857,4.0776804285714
11446,30,30285,30360,Saint-Maurice-de-Cazevieille,saint maurice de cazevieille,44.034113586957,4.2385672826087
11447,30,30286,30700,Saint-Maximin,saint maximin,43.982392616822,4.4555399065421
11448,30,30287,30200,Saint-Michel-d'Euzet,saint michel d euzet,44.21122699187,4.5551403252032
11449,30,30288,30200,Saint-Nazaire,saint nazaire,44.201252272727,4.6236052272727
11450,30,30289,30610,Saint-Nazaire-des-Gardies,saint nazaire des gardies,43.977482158273,4.0172473381295
11451,30,30290,30130,Saint-Paulet-de-Caisson,saint paulet de caisson,44.262619557522,4.581482920354
11452,30,30291,30480,Saint-Paul-la-Coste,saint paul la coste,44.154399014084,3.9684348356807
11453,30,30292,30330,Saint-Pons-la-Calm,saint pons la calm,44.095480143885,4.5525995683453
11454,30,30293,30430,Saint-Privat-de-Champclos,saint privat de champclos,44.273833265306,4.3525076530612
11455,30,30294,30340,Saint-Privat-des-Vieux,saint privat des vieux,44.1400705,4.1289655
11456,30,30295,30700,Saint-Quentin-la-Poterie,saint quentin la poterie,44.052933688525,4.4420486885246
11457,30,30296,30440,Saint-Roman-de-Codières,saint roman de codieres,44.015618622754,3.7709338922156
11458,30,30297,30750,Saint-Sauveur-Camprieu,saint sauveur camprieu,44.104063694581,3.47868
11459,30,30298,30140,Saint-Sébastien-d'Aigrefeuille,saint sebastien d aigrefeuille,44.121085619048,3.9842798095238
11460,30,30299,30700,Saint-Siffret,saint siffret,44.018944210526,4.4715472368421
11461,30,30300,30260,Saint-Théodorit,saint theodorit,43.939044774775,4.0842623423423
11462,30,30301,30700,Saint-Victor-des-Oules,saint victor des oules,44.044187111111,4.4814675555556
11463,30,30302,30290,Saint-Victor-la-Coste,saint victor la coste,44.053609115044,4.6434337168142
11464,30,30303,30500,Saint-Victor-de-Malcap,saint victor de malcap,44.25478853211,4.2315220183486
11465,30,30304,30760,Salazac,salazac,44.255940471698,4.5359453773585
11466,30,30305,30340,Salindres,salindres,44.16248655914,4.1636889247312
11467,30,30306,30250,Salinelles,salinelles,43.81497960396,4.0668823762376
11468,30,30307,30110,Les Salles-du-Gardon,les salles du gardon,44.192103481481,4.0192838518519
11469,30,30308,30700,Sanilhac-Sagriès,sanilhac sagries,43.958750446429,4.4180119642857
11470,30,30309,30260,Sardan,sardan,43.866760128205,4.0342137179487
11471,30,30310,30125,Saumane,saumane,44.118779807692,3.7671544871795
11472,30,30311,30610,Sauve,sauve,43.935965759494,3.9574100632911
11473,30,30312,30150,Sauveterre,sauveterre,44.017145608108,4.797792972973
11474,30,30313,30190,Sauzet,sauzet,43.962228913043,4.2188393478261
11475,30,30314,30350,Savignargues,savignargues,43.965812884615,4.0774421153846
11476,30,30315,30650,Saze,saze,43.948774805195,4.6952451948052
11477,30,30316,30450,Sénéchas,senechas,44.335679166667,4.0088723611111
11478,30,30317,30210,Sernhac,sernhac,43.917798157895,4.5568536842105
11479,30,30318,30340,Servas,servas,44.15569592233,4.1924760194175
11480,30,30319,30700,Serviers-et-Labaume,serviers et labaume,44.039962992701,4.3362972262774
11481,30,30320,30580,Seynes,seynes,44.11291,4.2876841666667
11482,30,30321,30250,Sommières,sommieres,43.772696894737,4.0852053684211
11483,30,30322,30460,Soudorgues,soudorgues,44.067459606742,3.8040254494382
11484,30,30323,30110,Soustelle,soustelle,44.169100306748,3.994889202454
11485,30,30324,30250,Souvignargues,souvignargues,43.817567931034,4.1272967816092
11486,30,30325,30440,Sumène,sumene,43.990106396761,3.7318453846154
11487,30,30326,30126,Tavel,tavel,44.012850416667,4.6828215277778
11488,30,30327,30430,Tharaux,tharaux,44.241410869565,4.3199408695652
11489,30,30328,30390,Théziers,theziers,43.901810980392,4.6250243137255
11490,30,30329,30140,Thoiras,thoiras,44.0652633,3.9266227
11491,30,30330,30140,Tornac,tornac,44.021030143885,3.9749008633094
11492,30,30331,30330,Tresques,tresques,44.116288076923,4.5933190384615
11493,30,30332,30750,Trèves,treves,44.066140338346,3.3923981578947
11494,30,30333,30620,Uchaud,uchaud,43.756963942308,4.2683009615385
11495,30,30334,30700,Uzès,uzes,44.016665901639,4.4133423497268
11496,30,30335,30460,Vabres,vabres,44.029620821918,3.8894828767123
11497,30,30336,30300,Vallabrègues,vallabregues,43.854475882353,4.6336502352941
11498,30,30337,30700,Vallabrix,vallabrix,44.060188333333,4.4779527777778
11499,30,30338,30580,Vallérargues,vallerargues,44.129998135593,4.3542479661017
11500,30,30339,30570,Valleraugue,valleraugue,44.089751642651,3.6167824783862
11501,30,30340,30210,Valliguières,valliguieres,44.009661834862,4.5939021100917
11502,30,30341,30600,Vauvert,vauvert,43.64040241206,4.2880894974874
11503,30,30342,30200,Vénéjan,venejan,44.1987128,4.66814512
11504,30,30343,30630,Verfeuil,verfeuil,44.170588488889,4.4587549333333
11505,30,30344,30310,Vergèze,vergeze,43.732472268041,4.233316185567
