,,,,-VIENNE,,,
33815,86,86258,86140,Scorbé-Clairvaux,scorbe clairvaux,46.799353360656,0.40444721311475
33816,86,86260,86230,Sérigny,serigny,46.93293004878,0.30928765853659
33817,86,86261,86800,Sèvres-Anxaumont,sevres anxaumont,46.575674252874,0.45603459770115
33818,86,86262,86320,Sillars,sillars,46.419486477987,0.77691339622642
33819,86,86263,86240,Smarves,smarves,46.514824666667,0.3568804
33820,86,86264,86160,Sommières-du-Clain,sommieres du clain,46.274005255474,0.37165321167883
33821,86,86265,86230,Sossais,sossais,46.870605961538,0.37814326923077
33822,86,86266,86250,Surin,surin,46.077729375,0.373185625
33823,86,86268,86800,Tercé,terce,46.514437222222,0.56539509259259
33824,86,86269,86120,Ternay,ternay,47.035898219178,-0.05640808219178
33825,86,86270,86290,Thollet,thollet,46.428678721805,1.1113703759398
33826,86,86271,86110,Thurageau,thurageau,46.779701834862,0.27396899082569
33827,86,86272,86540,Thuré,thure,46.841930447761,0.45782383084577
33828,86,86273,86290,La Trimouille,la trimouille,46.44389463964,1.0651303603604
33829,86,86274,86120,Les Trois-Moutiers,les trois moutiers,47.059304968153,0.01292407643312
33830,86,86275,86230,Usseau,usseau,46.888187362637,0.49749472527473
33831,86,86276,86350,Usson-du-Poitou,usson du poitou,46.280464805195,0.54621493506494
33832,86,86277,86110,Varennes,varennes,46.765588842105,0.19900410526316
33833,86,86278,86700,Vaux,vaux,46.285848648649,0.23818648648649
33834,86,86279,86220,Vaux-sur-Vienne,vaux sur vienne,46.9098615,0.55806925
33835,86,86280,86230,Vellèches,velleches,46.939292315789,0.52307494736842
33836,86,86281,86170,Saint Martin la Pallu,saint martin la pallu,46.7370003,0.3088295
33837,86,86281,86380,Saint Martin la Pallu,saint martin la pallu,46.7370003,0.3088295
33838,86,86284,86340,Vernon,vernon,46.428733659794,0.47488628865979
33839,86,86285,86410,Verrières,verrieres,46.401749140625,0.592394921875
33840,86,86286,86420,Verrue,verrue,46.868543694268,0.17842146496815
33841,86,86287,86120,Vézières,vezieres,47.094448071429,0.12705221428571
33842,86,86288,86260,Vicq-sur-Gartempe,vicq sur gartempe,46.729471093117,0.84218230769231
33843,86,86289,86150,Le Vigeant,le vigeant,46.219211637931,0.63709655172414
33844,86,86290,86340,La Villedieu-du-Clain,la villedieu du clain,46.458664807692,0.3931775
