,,,,-MANCHE,,,
18364,50,50310,50570,Le Mesnil-Eury,le mesnil eury,49.162343571429,-1.2381149107143
18365,50,50311,50450,Le Mesnil-Garnier,le mesnil garnier,48.864518661972,-1.3053567605634
18366,50,50312,50670,Le Mesnil-Gilbert,le mesnil gilbert,48.720131197183,-1.06187
18367,50,50313,50750,Le Mesnil-Herman,le mesnil herman,49.0204742,-1.1422624
18368,50,50315,50600,Le Mesnillard,le mesnillard,48.631320282486,-1.0804129943503
18369,50,50317,50220,Le Mesnil-Ozenne,le mesnil ozenne,48.667498615385,-1.2176972307692
18370,50,50320,50450,Le Mesnil-Rogues,le mesnil rogues,48.863194367089,-1.3798368987342
18371,50,50321,50000,Le Mesnil-Rouxelin,le mesnil rouxelin,49.139282816901,-1.0816746478873
18372,50,50324,50620,Le Mesnil-Véneron,le mesnil veneron,49.225505,-1.1658019767442
18373,50,50326,50450,Le Mesnil-Villeman,le mesnil villeman,48.856893023256,-1.3434559883721
18374,50,50327,50510,La Meurdraquière,la meurdraquiere,48.863247548387,-1.4000194193548
18375,50,50328,50190,Millières,millieres,49.191923138686,-1.4570682481752
18376,50,50332,50270,Les Moitiers-d'Allonne,les moitiers d allonne,49.406230963855,-1.7773810843374
18377,50,50334,50410,Montabot,montabot,48.937144852941,-1.1337909558824
18378,50,50335,50700,Montaigu-la-Brisette,montaigu la brisette,49.56908,-1.4171623357664
18379,50,50336,50450,Montaigu-les-Bois,montaigu les bois,48.891510387597,-1.2676703100775
18380,50,50338,50410,Montbray,montbray,48.882266959459,-1.1031820945946
18381,50,50340,50490,Montcuit,montcuit,49.115225098039,-1.3460852941176
18382,50,50341,50310,Montebourg,montebourg,49.496941785714,-1.3864280952381
18383,50,50342,50760,Montfarville,montfarville,49.657154719101,-1.2594888764045
18384,50,50345,50200,Monthuchon,monthuchon,49.090960340136,-1.4167959183673
18385,50,50347,50240,Montjoie-Saint-Martin,montjoie saint martin,48.522896536313,-1.2941147486033
18386,50,50348,50620,Montmartin-en-Graignes,montmartin en graignes,49.265754137931,-1.1497179310345
18387,50,50349,50590,Montmartin-sur-Mer,montmartin sur mer,48.991418367347,-1.525942244898
18388,50,50350,50210,Montpinchon,montpinchon,49.025689252336,-1.3214979439252
18389,50,50351,50810,Montrabot,montrabot,49.11020695122,-0.88906451219512
18390,50,50352,50570,Montreuil-sur-Lozon,montreuil sur lozon,49.135653921569,-1.2433746078431
18391,50,50353,50170,Le Mont-Saint-Michel,le mont saint michel,48.624904285714,-1.5212242857143
18392,50,50354,50200,Montsurvent,montsurvent,49.110383218391,-1.5126142528736
18393,50,50356,50680,Moon-sur-Elle,moon sur elle,49.203764444444,-1.0512443137255
18394,50,50357,50410,Morigny,morigny,48.882009876543,-1.0707850617284
18395,50,50358,50630,Morsalines,morsalines,49.571055,-1.3218322222222
18396,50,50359,50140,Mortain-Bocage,mortain bocage,48.613349332273,-0.92496899841018
18397,50,50360,50700,Morville,morville,49.474157739726,-1.5179794520548
18398,50,50361,50320,La Mouche,la mouche,48.784376082474,-1.3517717525773
18399,50,50362,50600,Moulines,moulines,48.547366333333,-1.0447600666667
18400,50,50363,50420,Moyon Villages,moyon villages,48.999737,-1.117709
18401,50,50363,50860,Moyon Villages,moyon villages,48.999737,-1.117709
18402,50,50364,50490,Muneville-le-Bingard,muneville le bingard,49.135069649123,-1.470712631579
18403,50,50365,50290,Muneville-sur-Mer,muneville sur mer,48.935184402985,-1.4879602238806
18404,50,50368,50190,Nay,nay,49.239354536082,-1.3716695876289
18405,50,50369,50260,Négreville,negreville,49.502155492228,-1.5569496373057
18406,50,50370,50390,Néhou,nehou,49.428902943548,-1.5612638709677
18407,50,50371,50140,Le Neufbourg,le neufbourg,48.661027619048,-0.9476725
18408,50,50372,50250,Neufmesnil,neufmesnil,49.312373545455,-1.5346754545454
18409,50,50373,50480,Neuville-au-Plain,neuville au plain,49.422711184211,-1.3329486842105
18410,50,50374,50250,Neuville-en-Beaumont,neuville en beaumont,49.349343888889,-1.5967022222222
18411,50,50376,50200,Nicorps,nicorps,49.035849127517,-1.4106661744966
18412,50,50378,50210,Notre-Dame-de-Cenilly,notre dame de cenilly,49.007851794872,-1.2648113141026
18413,50,50379,50370,Notre-Dame-de-Livoye,notre dame de livoye,48.747278642857,-1.1970781428571
18414,50,50382,50690,Nouainville,nouainville,49.619225454545,-1.6809625757576
18415,50,50384,50630,Octeville-l'Avenel,octeville l avenel,49.546921473684,-1.3633046315789
18416,50,50387,50390,Orglandes,orglandes,49.422346197183,-1.4416390140845
18417,50,50388,50660,Orval sur Sienne,orval sur sienne,49.008819299065,-1.4713136915888
18418,50,50389,50210,Ouville,ouville,49.025891814159,-1.361259380531
18419,50,50390,50310,Ozeville,ozeville,49.501244725275,-1.340724945055
18420,50,50391,50600,Grandparigny,grandparigny,48.603005813953,-1.0615715813953
18421,50,50393,50410,Percy-en-Normandie,percy en normandie,48.913371020408,-1.1978866763848
18422,50,50394,50190,Périers,periers,49.191639430052,-1.4168453367876
18423,50,50395,50630,La Pernelle,la pernelle,49.613811931034,-1.3068588965517
