,,,,-MEURTHE-ET-MOSELLE,,,
20249,54,54328,54710,Ludres,ludres,48.620190102041,6.1746680612245
20250,54,54329,54300,Lunéville,luneville,48.588880341463,6.5061563414634
20251,54,54330,54210,Lupcourt,lupcourt,48.602809883721,6.2221131395349
20252,54,54331,54129,Magnières,magnieres,48.442786067961,6.5673804368932
20253,54,54332,54700,Maidières,maidieres,48.896213421053,6.032862368421
20254,54,54333,54610,Mailly-sur-Seille,mailly sur seille,48.917448446602,6.2520538834952
20255,54,54334,54150,Mairy-Mainville,mairy mainville,49.307847070064,5.8584722929936
20256,54,54335,54370,Maixe,maixe,48.647903103448,6.4369467816092
20257,54,54336,54550,Maizières,maizieres,48.588903473684,6.0512091578947
20258,54,54337,54560,Malavillers,malavillers,49.357017457627,5.8628147457627
20259,54,54338,54670,Malleloy,malleloy,48.793475423729,6.1674286440678
20260,54,54339,54220,Malzéville,malzeville,48.720365901639,6.1878527868852
20261,54,54340,54470,Mamey,mamey,48.877494328358,5.9542114925373
20262,54,54343,54470,Mandres-aux-Quatre-Tours,mandres aux quatre tours,48.8364375,5.7975732575758
20263,54,54344,54290,Mangonville,mangonville,48.451678095238,6.2859222222222
20264,54,54345,54210,Manoncourt-en-Vermois,manoncourt en vermois,48.60337278481,6.270234556962
20265,54,54346,54385,Manoncourt-en-Woëvre,manoncourt en woevre,48.780898265306,5.9205182653061
20266,54,54348,54385,Manonville,manonville,48.830219147287,5.9106799224806
20267,54,54349,54300,Manonviller,manonviller,48.585112532468,6.6600138961039
20268,54,54350,54300,Marainviller,marainviller,48.602569417476,6.6110439320388
20269,54,54351,54820,Marbache,marbache,48.794553518519,6.0934312962963
20270,54,54352,54230,Maron,maron,48.64677984127,6.0532917460317
20271,54,54353,54800,Mars-la-Tour,mars la tour,49.097142805755,5.8856523021583
20272,54,54354,54330,Marthemont,marthemont,48.559974032258,6.0397141935484
20273,54,54355,54380,Martincourt,martincourt,48.851865961538,5.95234375
20274,54,54356,54830,Mattexey,mattexey,48.439265189873,6.5203146835443
20275,54,54357,54320,Maxéville,maxeville,48.708129367089,6.1467634177215
20276,54,54358,54280,Mazerulles,mazerulles,48.752865888889,6.3782965555556
20277,54,54359,54360,Méhoncourt,mehoncourt,48.511052473118,6.3765089247312
