,,,,-LOIRET,,,
17071,45,45315,45600,Sully-sur-Loire,sully sur loire,47.743439020979,2.351813006993
17072,45,45316,45530,Sury-aux-Bois,sury aux bois,47.950195074627,2.3774706716418
17073,45,45317,45190,Tavers,tavers,47.759199701493,1.6006764179105
17074,45,45320,45300,Thignonville,thignonville,48.270386545455,2.1780250909091
17075,45,45321,45260,Thimory,thimory,47.925002588235,2.5924864705882
17076,45,45322,45210,Thorailles,thorailles,48.028079032258,2.8959019354839
17077,45,45323,45420,Thou,thou,47.579073411765,2.8979731176471
17078,45,45324,45510,Tigy,tigy,47.779480275862,2.1842955172414
17079,45,45325,45170,Tivernon,tivernon,48.159570888889,1.9400397777778
17080,45,45326,45310,Tournoisis,tournoisis,48.001524666667,1.6251543333333
17081,45,45327,45470,Traînou,trainou,47.964999668874,2.1018162913907
17082,45,45328,45490,Treilles-en-Gâtinais,treilles en gatinais,48.078493793103,2.6689912068965
17083,45,45329,45220,Triguères,trigueres,47.938694137931,2.9980904137931
17084,45,45330,45410,Trinay,trinay,48.084177468354,1.9525434177215
17085,45,45331,45510,Vannes-sur-Cosson,vannes sur cosson,47.717447128205,2.2011996923077
17086,45,45332,45290,Varennes-Changy,varennes changy,47.859246502732,2.6601507103825
17087,45,45333,45760,Vennecy,vennecy,47.954574444444,2.0594026666667
17088,45,45334,45260,Vieilles-Maisons-sur-Joudry,vieilles maisons sur joudry,47.881658974359,2.4424794871795
17089,45,45335,45510,Vienne-en-Val,vienne en val,47.777786503497,2.1194411888112
17090,45,45336,45600,Viglain,viglain,47.73006119171,2.2944806217617
17091,45,45337,45310,Villamblain,villamblain,48.009608117647,1.5505741176471
17092,45,45338,45700,Villemandeur,villemandeur,47.981731351351,2.7119506756757
17093,45,45339,45270,Villemoutiers,villemoutiers,47.99180578125,2.55540171875
17094,45,45340,45600,Villemurlin,villemurlin,47.690398357143,2.3384945714286
17095,45,45341,45310,Villeneuve-sur-Conie,villeneuve sur conie,48.051471752577,1.6459492783505
17096,45,45342,45170,Villereau,villereau,48.073857837838,1.9879313513513
17097,45,45343,45700,Villevoques,villevoques,48.027460384615,2.6241769230769
17098,45,45344,45190,Villorceau,villorceau,47.800752280702,1.5961568421053
17099,45,45345,45700,Vimory,vimory,47.942089,2.6827853076923
17100,45,45346,45530,Vitry-aux-Loges,vitry aux loges,47.934101293103,2.2544125862069
17101,45,45347,45300,Vrigny,vrigny,48.073120636364,2.2440589090909
17102,45,45348,45300,Yèvre-la-Ville,yevre la ville,48.1463024,2.3317202
