,,,,-HAUTE-SAONE,,,
28157,70,70329,70120,Malvillers,malvillers,47.734822045455,5.7887355681818
28158,70,70330,70400,Mandrevillars,mandrevillars,47.61648,6.7733479746836
28159,70,70331,70100,Mantoche,mantoche,47.429426391753,5.5225091752577
28160,70,70332,70110,Marast,marast,47.556909090909,6.3810769090909
28161,70,70334,70150,Marnay,marnay,47.293409016393,5.769493852459
28162,70,70335,70230,Maussans,maussans,47.437327352941,6.2478236764706
28163,70,70336,70110,Mélecey,melecey,47.524078787879,6.4906246969697
28164,70,70337,70120,Melin,melin,47.738768157895,5.8242063157895
28165,70,70338,70210,Melincourt,melincourt,47.88333765625,6.1328936458333
28166,70,70339,70270,Mélisey,melisey,47.764338985507,6.5670326811594
28167,70,70340,70180,Membrey,membrey,47.58644919708,5.752224379562
28168,70,70341,70160,Menoux,menoux,47.80738829932,6.1013929251701
28169,70,70342,70130,Mercey-sur-Saône,mercey sur saone,47.524700123457,5.726277654321
28170,70,70343,70160,Mersuay,mersuay,47.785825787037,6.1416288425926
28171,70,70344,70300,Meurcourt,meurcourt,47.770435846154,6.2331497692308
28172,70,70347,70400,Mignavillers,mignavillers,47.584236967213,6.549068852459
28173,70,70348,70200,Moffans-et-Vacheresse,moffans et vacheresse,47.62805616,6.55125368
28174,70,70349,70110,Moimay,moimay,47.559455108696,6.399285326087
28175,70,70350,70120,Molay,molay,47.735569920635,5.7434272222222
28176,70,70351,70240,Mollans,mollans,47.65152075,6.3897685625
28177,70,70352,70310,La Montagne,la montagne,47.920133181818,6.5914909090909
28178,70,70353,70140,Montagney,montagney,47.288838791946,5.6566534899329
28179,70,70355,70190,Montarlot-lès-Rioz,montarlot les rioz,47.416305342466,5.9947357534247
28180,70,70356,70700,Montboillon,montboillon,47.380651759259,5.9123968518519
28181,70,70357,70230,Montbozon,montbozon,47.45876503876,6.253525503876
28182,70,70358,70000,Montcey,montcey,47.654958117647,6.2382564705882
28183,70,70359,70500,Montcourt,montcourt,47.928854204545,5.9623380681818
28184,70,70360,70210,Montdoré,montdore,47.925918427673,6.0810562264151
28185,70,70361,70270,Montessaux,montessaux,47.738956666667,6.565265
28186,70,70362,70500,Montigny-lès-Cherlieu,montigny les cherlieu,47.790040821918,5.8166549315069
28187,70,70363,70000,Montigny-lès-Vesoul,montigny les vesoul,47.642567581699,6.074702875817
28188,70,70364,70110,Montjustin-et-Velotte,montjustin et velotte,47.617765864662,6.3747058646617
28189,70,70366,70700,Villers-Chemin-et-Mont-lès-Étrelles,villers chemin et mont les etrelles,47.438502735849,5.8779976415094
28190,70,70367,70000,Mont-le-Vernois,mont le vernois,47.60480624,6.06220296
28191,70,70368,70180,Montot,montot,47.556681881188,5.6173376237624
28192,70,70369,70120,Mont-Saint-Léger,mont saint leger,47.63653,5.7959091428571
28193,70,70371,70100,Montureux-et-Prantigny,montureux et prantigny,47.506012616822,5.6313879439252
