,,,,-HERAULT,,,
13399,34,34280,34400,Saint-Nazaire-de-Pézan,saint nazaire de pezan,43.638367142857,4.1155206122449
13400,34,34281,34230,Saint-Pargoire,saint pargoire,43.531833920705,3.5312490748899
13401,34,34282,34570,Saint-Paul-et-Valmalle,saint paul et valmalle,43.611738796992,3.687359924812
13402,34,34283,34520,Saint-Pierre-de-la-Fage,saint pierre de la fage,43.79229,3.4187751351351
13403,34,34284,34220,Saint-Pons-de-Thomières,saint pons de thomieres,43.481394208333,2.7475829583333
13404,34,34285,34230,Saint-Pons-de-Mauchiens,saint pons de mauchiens,43.512244307692,3.5145599230769
13405,34,34286,34700,Saint-Privat,saint privat,43.748398853503,3.41431
13406,34,34287,34725,Saint-Saturnin-de-Lucian,saint saturnin de lucian,43.702147410714,3.4682295535714
13407,34,34288,34400,Saint-Sériès,saint series,43.735722077922,4.1017331168831
13408,34,34289,34630,Saint-Thibéry,saint thibery,43.392938901734,3.4015836416185
13409,34,34290,34730,Saint-Vincent-de-Barbeyrargues,saint vincent de barbeyrargues,43.71033490566,3.8773560377358
13410,34,34291,34390,Saint-Vincent-d'Olargues,saint vincent d olargues,43.558189095238,2.8756064761905
13411,34,34292,34800,Salasc,salasc,43.622731,3.308761
13412,34,34293,34330,La Salvetat-sur-Agout,la salvetat sur agout,43.591265473684,2.6846813947368
13413,34,34294,34400,Saturargues,saturargues,43.714000188679,4.1142526415094
13414,34,34295,34570,Saussan,saussan,43.568206538462,3.7852001282051
13415,34,34296,34160,Saussines,saussines,43.760858918919,4.0512186486486
13416,34,34297,34270,Sauteyrargues,sauteyrargues,43.830617345133,3.9174405309735
13417,34,34298,34410,Sauvian,sauvian,43.290515145631,3.2574659223301
13418,34,34299,34410,Sérignan,serignan,43.270082732919,3.2885297515528
13419,34,34300,34290,Servian,servian,43.421026903226,3.3050283870968
13420,34,34301,34200,Sète,sete,43.385633023256,3.6608636627907
13421,34,34302,34210,Siran,siran,43.325624360465,2.6605565116279
13422,34,34303,34520,Sorbs,sorbs,43.89816488,3.40441112
13423,34,34304,34700,Soubès,soubes,43.775802905983,3.3490516239316
13424,34,34305,34330,Le Soulié,le soulie,43.550603645833,2.6861946354167
13425,34,34306,34700,Soumont,soumont,43.725361678832,3.3500661313869
13426,34,34307,34160,Sussargues,sussargues,43.711764390244,3.991788902439
13427,34,34308,34600,Taussac-la-Billière,taussac la billiere,43.628494634146,3.0738564878049
13428,34,34309,34820,Teyran,teyran,43.68442875,3.929417
13429,34,34310,34490,Thézan-lès-Béziers,thezan les beziers,43.414003396226,3.1571747798742
13430,34,34311,34120,Tourbes,tourbes,43.442132681159,3.3747014492754
13431,34,34312,34260,La Tour-sur-Orb,la tour sur orb,43.662163374233,3.1453118404908
13432,34,34313,34230,Tressan,tressan,43.575427931034,3.4875682758621
13433,34,34314,34270,Le Triadou,le triadou,43.736341294118,3.8524098823529
13434,34,34315,34230,Usclas-d'Hérault,usclas d herault,43.521541276596,3.4646376595745
13435,34,34316,34700,Usclas-du-Bosc,usclas du bosc,43.725300227273,3.39818
13436,34,34317,34520,La Vacquerie-et-Saint-Martin-de-Castries,la vacquerie et saint martin de castries,43.8020423,3.4679682
13437,34,34318,34270,Vacquières,vacquieres,43.827849569892,3.9477547311828
13438,34,34319,34320,Vailhan,vailhan,43.554869916667,3.2959325
13439,34,34320,34570,Vailhauquès,vailhauques,43.66258125,3.7297205147059
13440,34,34321,34130,Valergues,valergues,43.669653384615,4.0593903076923
13441,34,34322,34270,Valflaunès,valflaunes,43.802918797814,3.8607066120219
13442,34,34323,34800,Valmascle,valmascle,43.601036555556,3.2987298888889
13443,34,34324,34350,Valras-Plage,valras plage,43.246301338583,3.2882016535433
13444,34,34325,34290,Valros,valros,43.419412205882,3.3632051470588
13445,34,34326,34220,Vélieux,velieux,43.390381027027,2.7418228108108
13446,34,34327,34740,Vendargues,vendargues,43.661929690722,3.9657151546392
13447,34,34328,34230,Vendémian,vendemian,43.579988993289,3.556465704698
13448,34,34329,34350,Vendres,vendres,43.26363675,3.22509225
13449,34,34330,34400,Vérargues,verargues,43.70974375,4.09145328125
13450,34,34331,34220,Verreries-de-Moussans,verreries de moussans,43.454775255474,2.6758521167883
13451,34,34332,34450,Vias,vias,43.306652715232,3.4045369536424
13452,34,34333,34110,Vic-la-Gardiole,vic la gardiole,43.483659111111,3.815314962963
13453,34,34334,34390,Vieussan,vieussan,43.541837251185,3.0040678199052
13454,34,34335,34600,Villemagne-l'Argentière,villemagne l argentiere,43.618081221374,3.1219745038168
13455,34,34336,34420,Villeneuve-lès-Béziers,villeneuve les beziers,43.320774,3.284153
13456,34,34336,34500,Villeneuve-lès-Béziers,villeneuve les beziers,43.320774,3.284153
13457,34,34337,34750,Villeneuve-lès-Maguelone,villeneuve les maguelone,43.518086835443,3.8477439240506
13458,34,34338,34800,Villeneuvette,villeneuvette,43.611191325301,3.3996127710843
13459,34,34339,34360,Villespassans,villespassans,43.387638666667,2.9211942666667
13460,34,34340,34400,Villetelle,villetelle,43.727386,4.1377088571429
13461,34,34341,34560,Villeveyrac,villeveyrac,43.495562371134,3.5898822680412
13462,34,34342,34380,Viols-en-Laval,viols en laval,43.746646875,3.7348084375
13463,34,34343,34380,Viols-le-Fort,viols le fort,43.733027260274,3.6925206164384
13464,34,34344,34280,La Grande-Motte,la grande motte,43.563124680851,4.0752553191489
