id,department_code,insee_code,zip_code,-CALVADOS,slug,gps_lat,gps_lng
5035,14,14740,14290,La Vespière-Friardel,la vespiere friardel,49.007195235602,0.40412821989529
5036,14,14741,14570,Le Vey,le vey,48.9192214,-0.4630128
5037,14,14742,14170,Vicques,vicques,48.953284603175,-0.07855476190476
5038,14,14743,14430,Victot-Pontfol,victot pontfol,49.168863431373,-0.00826382352941
5039,14,14744,14400,Vienne-en-Bessin,vienne en bessin,49.280478352941,-0.62425917647059
5040,14,14745,14710,Vierville-sur-Mer,vierville sur mer,49.365850759494,-0.90319784810127
5041,14,14747,14930,Vieux,vieux,49.109567948718,-0.4430108974359
5042,14,14748,14130,Vieux-Bourg,vieux bourg,49.31367358209,0.24483388059701
5043,14,14751,14700,Vignats,vignats,48.851601181818,-0.10012690909091
5044,14,14752,14310,Villers-Bocage,villers bocage,49.078373246753,-0.65283272727273
5045,14,14753,14420,Villers-Canivet,villers canivet,48.935553364486,-0.25541887850467
5046,14,14754,14640,Villers-sur-Mer,villers sur mer,49.30832631068,0.00789922330097
5047,14,14755,14113,Villerville,villerville,49.390627931035,0.12385586206897
5048,14,14756,14570,La Villette,la villette,48.909811034483,-0.53909114942529
5049,14,14758,14610,Villons-les-Buissons,villons les buissons,49.2374428125,-0.4087978125
5050,14,14759,14700,Villy-lez-Falaise,villy lez falaise,48.898845784314,-0.13553578431373
5051,14,14760,14310,Villy-Bocage,villy bocage,49.107301911765,-0.65002066176471
5052,14,14761,14370,Vimont,vimont,49.136972095238,-0.19509476190476
5053,14,14762,14500,Vire Normandie,vire normandie,48.815797807487,-0.87742659536542
5054,14,14764,14690,Pont-d'Ouilly,pont d ouilly,48.875882406639,-0.4162579253112
