,,,,-MARNE,,,
18880,51,51277,51290,Sainte-Marie-du-Lac-Nuisement,sainte marie du lac nuisement,48.603648691589,4.7653448130841
18881,51,51278,51400,Les Grandes-Loges,les grandes loges,49.06156244898,4.2947863265306
18882,51,51279,51260,Granges-sur-Aube,granges sur aube,48.580893958333,3.8614790625
18883,51,51280,51800,Gratreuil,gratreuil,49.244983,4.6930195
18884,51,51281,51190,Grauves,grauves,48.966433592233,3.9598596116505
18885,51,51282,51390,Gueux,gueux,49.249862906977,3.8992043023256
18886,51,51283,51800,Hans,hans,49.114083655914,4.7474389247312
18887,51,51284,51300,Haussignémont,haussignemont,48.718395471698,4.7531537735849
18888,51,51285,51320,Haussimont,haussimont,48.755351369863,4.1831442465753
18889,51,51286,51290,Hauteville,hauteville,48.632917669173,4.7693195488722
18890,51,51287,51160,Hautvillers,hautvillers,49.084687153285,3.9437753284671
18891,51,51288,51300,Heiltz-le-Hutier,heiltz le hutier,48.68792890411,4.7772716438356
18892,51,51289,51340,Heiltz-le-Maurupt,heiltz le maurupt,48.799903476703,4.8334007526882
18893,51,51290,51340,Heiltz-l'Évêque,heiltz l eveque,48.779712513089,4.734942513089
18894,51,51291,51220,Hermonville,hermonville,49.33284971831,3.9180371830986
18895,51,51292,51460,Herpont,herpont,48.991092337662,4.7306041558442
18896,51,51293,51110,Heutrégiville,heutregiville,49.320917058824,4.2670941176471
18897,51,51294,51140,Hourges,hourges,49.280864418605,3.7704106976744
18898,51,51295,51300,Huiron,huiron,48.698503769633,4.5362440314136
18899,51,51296,51320,Humbauville,humbauville,48.654225047619,4.3851121904762
18900,51,51298,51700,Igny-Comblizy,igny comblizy,48.997933368421,3.724152631579
18901,51,51299,51110,Isles-sur-Suippe,isles sur suippe,49.359415909091,4.2000957575758
18902,51,51300,51290,Isle-sur-Marne,isle sur marne,48.640004342105,4.6858318421053
18903,51,51301,51150,Isse,isse,49.067566,4.21131775
18904,51,51302,51190,Les Istres-et-Bury,les istres et bury,48.988445,4.0825508333333
18905,51,51303,51150,Jâlons,jalons,49.009233619632,4.1809871779141
18906,51,51304,51210,Janvilliers,janvilliers,48.897383855422,3.6570278313253
18907,51,51305,51390,Janvry,janvry,49.245872033898,3.8778008474576
18908,51,51306,51310,Joiselle,joiselle,48.764292531646,3.4921843037975
18909,51,51307,51600,Jonchery-sur-Suippe,jonchery sur suippe,49.146718849557,4.4814546017699
18910,51,51308,51140,Jonchery-sur-Vesle,jonchery sur vesle,49.286382025316,3.8216496202532
18911,51,51309,51700,Jonquery,jonquery,49.14552,3.7862996296296
18912,51,51310,51390,Jouy-lès-Reims,jouy les reims,49.212023111111,3.923698
18913,51,51311,51340,Jussecourt-Minecourt,jussecourt minecourt,48.794970542636,4.7810420930233
18914,51,51312,51150,Juvigny,juvigny,49.015647293233,4.2670136842105
18915,51,51313,51120,Lachy,lachy,48.774502190476,3.6992194285714
18916,51,51314,51170,Lagery,lagery,49.208278131868,3.7333086813187
18917,51,51315,51290,Landricourt,landricourt,48.610260679612,4.8049977669903
18918,51,51316,51290,Larzicourt,larzicourt,48.6249259375,4.7240315625
18919,51,51317,51600,Laval-sur-Tourbe,laval sur tourbe,49.14071875,4.6774873611111
18920,51,51318,51110,Lavannes,lavannes,49.309508,4.1846929230769
18921,51,51319,51230,Lenharrée,lenharree,48.781878679245,4.1224137735849
18922,51,51320,51700,Leuvrigny,leuvrigny,49.052202396694,3.7728053719008
18923,51,51321,51170,Lhéry,lhery,49.2068984,3.7643692
18924,51,51322,51290,Lignon,lignon,48.589322272727,4.5303340909091
18925,51,51323,51230,Linthelles,linthelles,48.716985,3.8166014
18926,51,51324,51230,Linthes,linthes,48.730867209302,3.8539539534884
18927,51,51325,51300,Lisse-en-Champagne,lisse en champagne,48.816626037736,4.6489364150943
18928,51,51326,51400,Livry-Louvercy,livry louvercy,49.114865611511,4.3178510791367
18929,51,51327,51130,Loisy-en-Brie,loisy en brie,48.896075106383,3.8903779787234
18930,51,51328,51300,Loisy-sur-Marne,loisy sur marne,48.751571182266,4.5499409359606
18931,51,51329,51220,Loivre,loivre,49.346959807692,3.9764276923077
18932,51,51333,51500,Ludes,ludes,49.155198474576,4.0858851694915
18933,51,51334,51300,Luxémont-et-Villotte,luxemont et villotte,48.701485363636,4.6347472727273
18934,51,51336,51800,Maffrécourt,maffrecourt,49.116712340426,4.8224263829787
18935,51,51337,51170,Magneux,magneux,49.304209814815,3.7276324074074
18936,51,51338,51500,Mailly-Champagne,mailly champagne,49.1492375,4.1132910576923
18937,51,51339,51240,Mairy-sur-Marne,mairy sur marne,48.867993636364,4.4086885858586
18938,51,51340,51300,Maisons-en-Champagne,maisons en champagne,48.738974404762,4.4760589285714
18939,51,51341,51800,Malmy,malmy,49.182909895833,4.8122404166667
18940,51,51342,51530,Mancy,mancy,48.983523333333,3.9369469135802
18941,51,51343,51260,Marcilly-sur-Seine,marcilly sur seine,48.548140714286,3.7170333333333
18942,51,51344,51530,Mardeuil,mardeuil,49.054171318681,3.9237878021978
18943,51,51345,51270,Mareuil-en-Brie,mareuil en brie,48.961544791667,3.7511123958333
18944,51,51346,51700,Mareuil-le-Port,mareuil le port,49.071055288462,3.7472753846154
18945,51,51348,51170,Marfaux,marfaux,49.16811,3.8991053398058
18946,51,51349,51290,Margerie-Hancourt,margerie hancourt,48.552966008969,4.556850896861
18947,51,51350,51210,Margny,margny,48.922628375,3.653759625
18948,51,51351,51230,Marigny,marigny,48.665023255814,3.8550641860465
18949,51,51352,51300,Marolles,marolles,48.718966212121,4.6232684848485
18950,51,51353,51260,Marsangis,marsangis,48.6082175,3.84512875
18951,51,51354,51240,Marson,marson,48.923193428571,4.5424954285714
18952,51,51355,51800,Massiges,massiges,49.191744416667,4.7392301666667
18953,51,51356,51300,Matignicourt-Goncourt,matignicourt goncourt,48.678245619048,4.6759801904762
18954,51,51357,51510,Matougues,matougues,48.98918020202,4.2504432323232
18955,51,51358,51340,Maurupt-le-Montois,maurupt le montois,48.732999552239,4.8615196641791
18956,51,51359,51210,Mécringes,mecringes,48.851756666667,3.5246607291667
18957,51,51360,51120,Le Meix-Saint-Epoing,le meix saint epoing,48.701114835165,3.6542858241758
18958,51,51361,51320,Le Meix-Tiercelin,le meix tiercelin,48.639438918919,4.4329649549549
18959,51,51362,51220,Merfy,merfy,49.287458674699,3.947344939759
18960,51,51363,51300,Merlaut,merlaut,48.755329508197,4.662657295082
18961,51,51364,51390,Méry-Prémecy,mery premecy,49.228050597015,3.8683492537313
18962,51,51365,51370,Les Mesneux,les mesneux,49.221415581395,3.9606046511628
18963,51,51367,51190,Le Mesnil-sur-Oger,le mesnil sur oger,48.940048241758,4.0150615384615
18964,51,51368,51800,Minaucourt-le-Mesnil-lès-Hurlus,minaucourt le mesnil les hurlus,49.178366,4.7052282631579
18965,51,51369,51120,Mœurs-Verdey,moeurs verdey,48.731560206186,3.6743329896907
18966,51,51370,51800,Moiremont,moiremont,49.136854337349,4.8931628313253
18967,51,51371,51240,Moivre,moivre,48.936756621622,4.6727189189189
18968,51,51372,51470,Moncetz-Longevas,moncetz longevas,48.911717173913,4.4377863043478
18969,51,51373,51290,Moncetz-l'Abbaye,moncetz l abbaye,48.644986029412,4.6613826470588
