id,department_code,insee_code,zip_code,-ARDENNES,slug,gps_lat,gps_lng
2781,8,8405,8390,Sauville,sauville,49.552430862069,4.7945187356322
2782,8,8406,8400,Savigny-sur-Aisne,savigny sur aisne,49.361954888889,4.725192
2783,8,8407,8250,Séchault,sechault,49.27531,4.7380926153846
2784,8,8408,8150,Sécheval,secheval,49.861811478261,4.6601115652174
2785,8,8409,8200,Sedan,sedan,49.696804516129,4.9278100645161
2786,8,8410,8400,Semide,semide,49.323101233766,4.5812070779221
2787,8,8411,8130,Semuy,semuy,49.496891408451,4.6628877464789
2788,8,8412,8250,Senuc,senuc,49.30464320197,4.848158226601
2789,8,8413,8220,Seraincourt,seraincourt,49.623306138614,4.1904316831683
2790,8,8415,8270,Sery,sery,49.588914512195,4.3572706707317
2791,8,8416,8300,Seuil,seuil,49.480114836066,4.4564035245902
2792,8,8417,8230,Sévigny-la-Forêt,sevigny la foret,49.86870982906,4.4734746153846
2793,8,8418,8220,Sévigny-Waleppe,sevigny waleppe,49.621337651515,4.083081969697
2794,8,8419,8460,Signy-l'Abbaye,signy l abbaye,49.69720200565,4.3959924293785
2795,8,8420,8380,Signy-le-Petit,signy le petit,49.942010914454,4.2844824188791
2796,8,8421,8370,Signy-Montlibert,signy montlibert,49.581750449438,5.3131302247191
2797,8,8422,8430,Singly,singly,49.645887478992,4.7118651260504
2798,8,8424,8240,Sommauthe,sommauthe,49.497984405594,4.9859716083916
2799,8,8425,8250,Sommerance,sommerance,49.324730412371,4.9946850515464
2800,8,8426,8300,Son,son,49.582443882353,4.2716850588235
2801,8,8427,8300,Sorbon,sorbon,49.556276612903,4.3748745967742
2802,8,8428,8270,Sorcy-Bauthémont,sorcy bauthemont,49.54450208,4.54038144
2803,8,8429,8150,Sormonne,sormonne,49.808410444444,4.5638493333333
2804,8,8430,8390,Stonne,stonne,49.550369275362,4.9227760869565
2805,8,8431,8400,Sugny,sugny,49.355744608696,4.6638614782609
2806,8,8432,8090,Sury,sury,49.764935063291,4.6176467088608
2807,8,8433,8130,Suzanne,suzanne,49.519580564516,4.6392811290323
2808,8,8434,8390,Sy,sy,49.512544235294,4.8789172941176
2809,8,8435,8300,Tagnon,tagnon,49.452619638554,4.2942027710843
2810,8,8436,8230,Taillette,taillette,49.933106792453,4.4810939622641
2811,8,8437,8240,Tailly,tailly,49.411497545788,5.0750264102564
2812,8,8438,8360,Taizy,taizy,49.514278901099,4.256253956044
2813,8,8439,8390,Tannay,tannay,49.52740125,4.8212108695652
2814,8,8440,8380,Tarzy,tarzy,49.868414166667,4.2945027777778
2815,8,8444,8110,Tétaigne,tetaigne,49.649536688742,5.1197203311258
2816,8,8445,8350,Thelonne,thelonne,49.650338596491,4.9445629824561
2817,8,8446,8240,Thénorgues,thenorgues,49.402468206522,4.9165284782609
2818,8,8448,8800,Thilay,thilay,49.89583925,4.810204
2819,8,8449,8460,Thin-le-Moutier,thin le moutier,49.716376783217,4.5116856643357
2820,8,8450,8090,This,this,49.753633058824,4.611776
2821,8,8451,8190,Le Thour,le thour,49.543942074074,4.0918859259259
2822,8,8452,8300,Thugny-Trugny,thugny trugny,49.479041970803,4.4188124087591
2823,8,8453,8400,Toges,toges,49.426393404255,4.7826046808511
2824,8,8454,8430,Touligny,touligny,49.675520512821,4.6153137606838
2825,8,8455,8400,Tourcelles-Chaumont,tourcelles chaumont,49.396964262295,4.603913442623
2826,8,8456,8800,Tournavaux,tournavaux,49.874054615385,4.7839064615385
2827,8,8457,8090,Tournes,tournes,49.796475240964,4.6366431927711
2828,8,8458,8130,Tourteron,tourteron,49.540994245283,4.6377473584906
2829,8,8459,8110,Tremblois-lès-Carignan,tremblois les carignan,49.664477142857,5.2626826373626
2830,8,8460,8150,Tremblois-lès-Rocroi,tremblois les rocroi,49.845969393939,4.4989075757576
2831,8,8461,8400,Vandy,vandy,49.442500091743,4.7086340366972
2832,8,8462,8130,Vaux-Champagne,vaux champagne,49.447958061224,4.5446708163265
2833,8,8463,8240,Vaux-en-Dieulet,vaux en dieulet,49.484636728395,4.9961198765432
2834,8,8464,8250,Vaux-lès-Mouron,vaux les mouron,49.29836902439,4.7859312195122
2835,8,8465,8220,Vaux-lès-Rubigny,vaux les rubigny,49.68729962963,4.1806930864198
2836,8,8466,8210,Vaux-lès-Mouzon,vaux les mouzon,49.605116407767,5.1387349514563
2837,8,8467,8270,Vaux-Montreuil,vaux montreuil,49.58615046729,4.555941588785
2838,8,8468,8150,Vaux-Villaine,vaux villaine,49.770172876712,4.4733348630137
2839,8,8469,8160,Vendresse,vendresse,49.59968192053,4.7980187748344
2840,8,8470,8240,Verpel,verpel,49.384253163265,4.9272228571429
2841,8,8471,8390,Verrières,verrieres,49.495839640288,4.8920074100719
2842,8,8472,8270,Viel-Saint-Remy,viel saint remy,49.63502949495,4.4743729292929
2843,8,8473,8190,Vieux-lès-Asfeld,vieux les asfeld,49.452922533333,4.1006574666667
2844,8,8476,8190,Villers-devant-le-Thour,villers devant le thour,49.509981764706,4.0854202352941
2845,8,8477,8210,Villers-devant-Mouzon,villers devant mouzon,49.631223378378,5.019952972973
2846,8,8478,8430,Villers-le-Tilleul,villers le tilleul,49.624652254902,4.7236938235294
2847,8,8479,8430,Villers-le-Tourneur,villers le tourneur,49.622025607477,4.5601440186916
2848,8,8480,8000,Villers-Semeuse,villers semeuse,49.739033738318,4.7486238317757
2849,8,8481,8350,Villers-sur-Bar,villers sur bar,49.682572,4.8475083571429
2850,8,8482,8430,Villers-sur-le-Mont,villers sur le mont,49.663699466667,4.6822566666667
2851,8,8483,8440,Ville-sur-Lumes,ville sur lumes,49.754433508772,4.7959124561403
2852,8,8484,8310,Ville-sur-Retourne,ville sur retourne,49.39624825,4.451241
2853,8,8485,8370,Villy,villy,49.593736363636,5.2223213223141
2854,8,8486,8320,Vireux-Molhain,vireux molhain,50.076526477273,4.7047652272727
2855,8,8487,8320,Vireux-Wallerand,vireux wallerand,50.052835789474,4.7494281954887
2856,8,8488,8440,Vivier-au-Court,vivier au court,49.73415025,4.8234958333333
2857,8,8489,8400,Voncq,voncq,49.473583409091,4.6882896818182
2858,8,8490,8400,Vouziers,vouziers,49.421580396396,4.7047204684685
2859,8,8491,8330,Vrigne aux Bois,vrigne aux bois,49.7375658,4.8614221
2860,8,8491,8350,Vrigne aux Bois,vrigne aux bois,49.737021,4.857817
2861,8,8492,8350,Vrigne-Meuse,vrigne meuse,49.706844659091,4.837025
2862,8,8494,8200,Wadelincourt,wadelincourt,49.680086538462,4.92871
2863,8,8496,8270,Wagnon,wagnon,49.648775631068,4.4501664563107
2864,8,8497,8000,Warcq,warcq,49.763924910714,4.6665444642857
2865,8,8498,8090,Warnécourt,warnecourt,49.738207719298,4.6562833333333
2866,8,8499,8270,Wasigny,wasigny,49.627142650602,4.3548145783132
2867,8,8500,8270,Wignicourt,wignicourt,49.586239117647,4.5793517647059
2868,8,8501,8110,Williers,williers,49.669061780822,5.3043879452055
2869,8,8502,8210,Yoncq,yoncq,49.564956153846,5.0143762307692
2870,8,8503,8430,Yvernaumont,yvernaumont,49.676770506329,4.6589529113924
