id,department_code,insee_code,zip_code,-AISNE,slug,gps_lat,gps_lng
675,2,2270,2590,Douchy,douchy,49.790943064516,3.1322280645161
676,2,2271,2130,Dravegny,dravegny,49.239976558442,3.6431268831169
677,2,2272,2210,Droizy,droizy,49.2758667,3.3841947
678,2,2273,2480,Dury,dury,49.747003157895,3.136028
679,2,2274,2350,Ébouleau,ebouleau,49.676587075472,3.8846695283019
680,2,2275,2500,Effry,effry,49.920931333333,3.9845556666667
681,2,2276,2260,Englancourt,englancourt,49.922454358974,3.8045294871795
682,2,2277,2290,Épagny,epagny,49.469379230769,3.2512652307692
683,2,2278,2500,Éparcy,eparcy,49.881092767857,4.069431875
684,2,2279,2400,Épaux-Bézu,epaux bezu,49.10181,3.3532648453608
685,2,2280,2400,Épieds,epieds,49.104355263158,3.4555623157895
686,2,2281,2540,L'Épine-aux-Bois,l epine aux bois,48.897313655914,3.4437043010753
687,2,2282,2840,Eppes,eppes,49.547779759036,3.750616746988
688,2,2283,2250,Erlon,erlon,49.734426086957,3.7066367391304
689,2,2284,2260,Erloy,erloy,49.917618987342,3.841223164557
690,2,2286,2170,Esquéhéries,esqueheries,49.983382566845,3.752026684492
691,2,2287,2690,Essigny-le-Grand,essigny le grand,49.774448735632,3.2673803448276
692,2,2288,2100,Essigny-le-Petit,essigny le petit,49.898053092783,3.366184742268
693,2,2289,2570,Essises,essises,48.968956385542,3.4177653012048
694,2,2290,2400,Essômes-sur-Marne,essomes sur marne,49.034823678161,3.3347943678161
695,2,2291,2420,Estrées,estrees,49.97277472973,3.2821522972973
696,2,2292,2400,Étampes-sur-Marne,etampes sur marne,49.031027878788,3.4168245454546
697,2,2293,2110,Étaves-et-Bocquiaux,etaves et bocquiaux,49.93479125,3.4516053676471
698,2,2294,2000,Étouvelles,etouvelles,49.518288867925,3.5798758490566
699,2,2295,2580,Étréaupont,etreaupont,49.906643024691,3.9289545679012
700,2,2296,2590,Étreillers,etreillers,49.834257413793,3.1587989655172
701,2,2297,2400,Étrépilly,etrepilly,49.083596666667,3.3451427272727
702,2,2298,2510,Étreux,etreux,50.002589454545,3.6612727272727
703,2,2299,2190,Évergnicourt,evergnicourt,49.454960693069,4.0434445544554
704,2,2301,2320,Faucoucourt,faucoucourt,49.532881964286,3.4704933035714
705,2,2302,2600,Faverolles,faverolles,49.220935590062,3.1757839751553
706,2,2303,2100,Fayet,fayet,49.87171691358,3.2540595061728
707,2,2304,2800,La Fère,la fere,49.665543529412,3.3674456302521
708,2,2305,2130,Fère-en-Tardenois,fere en tardenois,49.187666490066,3.5103072847682
709,2,2306,2270,La Ferté-Chevresis,la ferte chevresis,49.7465834,3.5520545333333
710,2,2307,2460,La Ferté-Milon,la ferte milon,49.1764512,3.14054972
711,2,2308,2450,Fesmy-le-Sart,fesmy le sart,50.045863256881,3.6920806880734
712,2,2309,2840,Festieux,festieux,49.529026779661,3.7592827118644
713,2,2310,2110,Fieulaine,fieulaine,49.899964782609,3.4466049275362
714,2,2311,2000,Filain,filain,49.452874358974,3.5569815384615
715,2,2312,2260,La Flamengrie,la flamengrie,49.997555693431,3.9169439416058
716,2,2313,2120,Flavigny-le-Grand-et-Beaurain,flavigny le grand et beaurain,49.890374890511,3.6690577372263
