,,,,-SOMME,,,
31942,80,80244,80120,Dominois,dominois,50.328766,1.856139
31943,80,80245,80370,Domléger-Longvillers,domleger longvillers,50.158067128713,2.0866799009901
31944,80,80246,80440,Dommartin,dommartin,49.797766235294,2.3996735294118
31945,80,80247,80980,Dompierre-Becquincourt,dompierre becquincourt,49.908290384615,2.8057680769231
31946,80,80248,80150,Dompierre-sur-Authie,dompierre sur authie,50.301129877301,1.9250392638037
31947,80,80249,80620,Domqueur,domqueur,50.114751473684,2.0459029473684
31948,80,80250,80150,Domvast,domvast,50.203051666667,1.9096730434783
31949,80,80251,80140,Doudelainville,doudelainville,50.002705294118,1.7703219607843
31950,80,80252,80400,Douilly,douilly,49.797214134615,3.0629505769231
31951,80,80253,80600,Doullens,doullens,50.157161145374,2.3494600881057
31952,80,80256,80470,Dreuil-lès-Amiens,dreuil les amiens,49.915251333333,2.229112
31953,80,80258,80240,Driencourt,driencourt,49.958465813953,3.0039972093023
31954,80,80259,80640,Dromesnil,dromesnil,49.878650232558,1.8709004651163
31955,80,80260,80132,Drucat,drucat,50.145438956522,1.8629409565217
31956,80,80261,80480,Dury,dury,49.848907747748,2.2770783783784
31957,80,80262,80580,Eaucourt-sur-Somme,eaucourt sur somme,50.067521857143,1.8863642857143
31958,80,80263,80700,L'Échelle-Saint-Aurin,l echelle saint aurin,49.693402235294,2.7148015294118
31959,80,80264,80340,Éclusier-Vaux,eclusier vaux,49.951414810127,2.7915005063291
31960,80,80265,80570,Embreville,embreville,50.029523278689,1.5470106557377
31961,80,80266,80300,Englebelmer,englebelmer,50.055046132075,2.6077641509434
31962,80,80267,80200,Ennemain,ennemain,49.843788301887,2.9581872641509
31963,80,80268,80580,Épagne-Épagnette,epagne epagnette,50.076569295775,1.8654885915493
31964,80,80269,80140,Épaumesnil,epaumesnil,49.914058965517,1.8543736206896
31965,80,80270,80370,Épécamps,epecamps,50.110515538462,2.1534673846154
31966,80,80271,80740,Épehy,epehy,50.002824568966,3.131504137931
31967,80,80272,80190,Épénancourt,epenancourt,49.819322051282,2.9309371794872
31968,80,80273,80290,Éplessier,eplessier,49.784773106796,1.9436588349515
31969,80,80274,80400,Eppeville,eppeville,49.739343035714,3.0507510714286
31970,80,80275,80360,Équancourt,equancourt,50.035540116279,3.0149219767442
31971,80,80276,80290,Équennes-Éramecourt,equennes eramecourt,49.730403085106,1.9594087234043
31972,80,80278,80500,Erches,erches,49.721252666667,2.668352
31973,80,80279,80400,Ercheu,ercheu,49.698257807487,2.9481452406417
31974,80,80280,80210,Ercourt,ercourt,50.041843589744,1.7216387179487
31975,80,80281,80690,Ergnies,ergnies,50.087735517241,2.0333120689655
31976,80,80282,80580,Érondelle,erondelle,50.045327297297,1.8783531081081
31977,80,80283,80250,Esclainvillers,esclainvillers,49.692435818182,2.4031310909091
31978,80,80284,80400,Esmery-Hallon,esmery hallon,49.707668269231,3.0284273076923
31979,80,80285,80160,Essertaux,essertaux,49.745368,2.2599296363636
31980,80,80287,80230,Estrébœuf,estreboeuf,50.155868350515,1.6290729896907
31981,80,80288,80200,Estrées-Deniécourt,estrees deniecourt,49.873605434783,2.8220243478261
31982,80,80290,80150,Estrées-lès-Crécy,estrees les crecy,50.263754105263,1.9392609473684
31983,80,80291,80250,Estrées-sur-Noye,estrees sur noye,49.783874153846,2.341326
31984,80,80292,80190,Étalon,etalon,49.76178704918,2.8475021311475
31985,80,80293,80500,Ételfay,etelfay,49.662831186441,2.6078447457627
31986,80,80294,80200,Éterpigny,eterpigny,49.887001886792,2.9184694339623
31987,80,80295,80340,Étinehem-Méricourt,etinehem mericourt,49.925491445087,2.6836104624278
31988,80,80296,80830,L'Étoile,l etoile,50.02434961165,2.0432160194175
31989,80,80297,80140,Étréjust,etrejust,49.909641538462,1.8862392307692
31990,80,80298,80360,Étricourt-Manancourt,etricourt manancourt,50.032110194175,2.9833317475728
31991,80,80299,80250,La Faloise,la faloise,49.695659230769,2.3488587692308
31992,80,80300,80190,Falvy,falvy,49.82211630137,2.9631580821918
31993,80,80301,80290,Famechon,famechon,49.768389322034,2.033270338983
31994,80,80302,80500,Faverolles,faverolles,49.647121206897,2.6155036206897
31995,80,80303,80120,Favières,favieres,50.227163071895,1.6580951633987
31996,80,80304,80200,Fay,fay,49.885222432432,2.8010905405405
31997,80,80305,80470,Ferrières,ferrieres,49.885443157895,2.1772354385965
31998,80,80306,80500,Fescamps,fescamps,49.641057222222,2.6863791111111
31999,80,80307,80200,Feuillères,feuilleres,49.943587906977,2.8438704651163
32000,80,80308,80210,Feuquières-en-Vimeu,feuquieres en vimeu,50.060214754098,1.6051545901639
32001,80,80310,80750,Fienvillers,fienvillers,50.118654375,2.238090546875
32002,80,80311,80500,Fignières,fignieres,49.683111290323,2.588020483871
32003,80,80312,80360,Fins,fins,50.03852968254,3.0366192063492
32004,80,80313,80200,Flaucourt,flaucourt,49.914331846154,2.8675232307692
32005,80,80314,80360,Flers,flers,50.052544509804,2.8215650980392
32006,80,80315,80160,Flers-sur-Noye,flers sur noye,49.730723278689,2.2581142622951
32007,80,80316,80260,Flesselles,flesselles,50.00487046729,2.2610321495327
32008,80,80317,80160,Fleury,fleury,49.739336451613,2.110620860215
32009,80,80318,80420,Flixecourt,flixecourt,50.013262573529,2.0781534558824
32010,80,80319,80540,Fluy,fluy,49.860702105263,2.0860415789474
32011,80,80320,80170,Folies,folies,49.764977142857,2.6689682857143
32012,80,80321,80250,Folleville,folleville,49.67794,2.3539486111111
32013,80,80322,80700,Fonches-Fonchette,fonches fonchette,49.776345098039,2.8212792156863
32014,80,80324,80140,Fontaine-le-Sec,fontaine le sec,49.947578985507,1.8060575362319
32015,80,80325,80340,Fontaine-lès-Cappy,fontaine les cappy,49.90006625,2.77467984375
32016,80,80326,80500,Fontaine-sous-Montdidier,fontaine sous montdidier,49.657634083333,2.5086618333333
32017,80,80327,80150,Fontaine-sur-Maye,fontaine sur maye,50.235626111111,1.9232457407407
32018,80,80328,80510,Fontaine-sur-Somme,fontaine sur somme,50.030649596774,1.9358426612903
32019,80,80329,80560,Forceville,forceville,50.066295316456,2.5579669620253
32020,80,80330,80140,Forceville-en-Vimeu,forceville en vimeu,49.961021836735,1.8031995918367
32021,80,80331,80150,Forest-l'Abbaye,forest l abbaye,50.20277,1.8329035294118
32022,80,80332,80120,Forest-Montiers,forest montiers,50.245449733333,1.7386314666667
32023,80,80333,80120,Fort-Mahon-Plage,fort mahon plage,50.353796846847,1.5724538738739
32024,80,80334,80160,Fossemanant,fossemanant,49.802065606061,2.1939918181818
32025,80,80335,80340,Foucaucourt-en-Santerre,foucaucourt en santerre,49.877064166667,2.7660743333333
32026,80,80336,80140,Foucaucourt-Hors-Nesle,foucaucourt hors nesle,49.916906938776,1.7148065306122
32027,80,80337,80440,Fouencamps,fouencamps,49.819312842105,2.4091805263158
32028,80,80338,80800,Fouilloy,fouilloy,49.893719298246,2.5070428070175
32029,80,80339,80170,Fouquescourt,fouquescourt,49.770314509804,2.7467962745098
32030,80,80340,80290,Fourcigny,fourcigny,49.754147435897,1.8251871794872
32031,80,80341,80310,Fourdrinoy,fourdrinoy,49.922356909091,2.104424
32032,80,80342,80131,Framerville-Rainecourt,framerville rainecourt,49.871867462687,2.7294794029851
32033,80,80343,80140,Framicourt,framicourt,49.953914561404,1.6767631578947
32034,80,80344,80690,Francières,francieres,50.075173846154,1.9503284615385
32035,80,80345,80210,Franleu,franleu,50.098326987952,1.6431434939759
32036,80,80346,80620,Franqueville,franqueville,50.094637045455,2.1061522727273
32037,80,80347,80700,Fransart,fransart,49.768072926829,2.7731487804878
32038,80,80348,80620,Fransu,fransu,50.114798876404,2.0950395505618
32039,80,80349,80160,Fransures,fransures,49.714868269231,2.2294155769231
32040,80,80350,80800,Franvillers,franvillers,49.968079574468,2.4967680851064
32041,80,80351,80260,Fréchencourt,frechencourt,49.964607894737,2.4396944736842
32042,80,80352,80160,Frémontiers,fremontiers,49.772243563218,2.0800759770115
32043,80,80353,80320,Fresnes-Mazancourt,fresnes mazancourt,49.850014909091,2.8635396363636
32044,80,80354,80140,Fresnes-Tilloloy,fresnes tilloloy,49.982472941176,1.7646861764706
32045,80,80355,80140,Fresneville,fresneville,49.88722025,1.8323095
32046,80,80356,80140,Fresnoy-Andainville,fresnoy andainville,49.910405102041,1.789772244898
32047,80,80357,80290,Fresnoy-au-Val,fresnoy au val,49.834835616438,2.050167260274
32048,80,80358,80110,Fresnoy-en-Chaussée,fresnoy en chaussee,49.77169,2.5837076923077
32049,80,80359,80700,Fresnoy-lès-Roye,fresnoy les roye,49.740791219512,2.7797304878049
32050,80,80360,80390,Fressenneville,fressenneville,50.06596295082,1.5692380327869
32051,80,80361,80140,Frettecuisse,frettecuisse,49.922242597403,1.8139028571429
32052,80,80362,80220,Frettemeule,frettemeule,50.000551285714,1.6395964285714
32053,80,80364,80460,Friaucourt,friaucourt,50.087085454545,1.4740111363636
32054,80,80365,80290,Fricamps,fricamps,49.819083783784,1.9906314864865
32055,80,80366,80300,Fricourt,fricourt,49.999061057692,2.7192502884615
