,,,,-GERS,,,
12313,32,32207,32810,Leboulin,leboulin,43.670484153846,0.65930584615385
12314,32,32208,32700,Lectoure,lectoure,43.95171286052,0.64478943262411
12315,32,32209,32400,Lelin-Lapujolle,lelin lapujolle,43.707748451613,-0.13571167741935
12316,32,32210,32600,Lias,lias,43.568830421053,1.1252671578947
12317,32,32211,32240,Lias-d'Armagnac,lias d armagnac,43.858860113636,-0.06188886363636
12318,32,32212,32480,Ligardes,ligardes,44.043087364341,0.48549589147287
12319,32,32213,32220,Lombez,lombez,43.464835899281,0.90220107913669
12320,32,32214,32110,Loubédat,loubedat,43.744220744681,0.03269755319149
12321,32,32215,32300,Loubersan,loubersan,43.501141962617,0.51265710280374
12322,32,32216,32140,Lourties-Monbrun,lourties monbrun,43.457039316239,0.54628341880342
12323,32,32217,32230,Louslitges,louslitges,43.601904142857,0.15432157142857
12324,32,32218,32290,Loussous-Débat,loussous debat,43.658287594937,0.07894911392405
12325,32,32219,32290,Lupiac,lupiac,43.688148787879,0.19110924242424
12326,32,32220,32110,Luppé-Violles,luppe violles,43.735233486239,-0.14218871559633
12327,32,32221,32270,Lussan,lussan,43.622188473282,0.74630381679389
12328,32,32222,32110,Magnan,magnan,43.764960877193,-0.11409692982456
12329,32,32223,32380,Magnas,magnas,43.893564705882,0.72752838235294
12330,32,32224,32310,Maignaut-Tauzia,maignaut tauzia,43.886049622642,0.39771981132075
12331,32,32225,32730,Malabat,malabat,43.430568536585,0.18895402439024
12332,32,32226,32170,Manas-Bastanous,manas bastanous,43.36846147541,0.3696387704918
12333,32,32227,32370,Manciet,manciet,43.819717298578,0.0578741943128
12334,32,32228,32140,Manent-Montané,manent montane,43.333826946565,0.60280022900763
12335,32,32229,32120,Mansempuy,mansempuy,43.744241449275,0.81262449275362
12336,32,32230,32310,Mansencôme,mansencome,43.873395157895,0.32951947368421
12337,32,32231,32190,Marambat,marambat,43.77761475,0.32247058333333
12338,32,32232,32120,Maravat,maravat,43.759409047619,0.76894380952381
12339,32,32233,32230,Marciac,marciac,43.521221830357,0.14954419642857
12340,32,32234,32490,Marestaing,marestaing,43.585458272727,1.0156223636364
12341,32,32235,32290,Margouët-Meymes,margouet meymes,43.728404802632,0.11586921052632
12342,32,32236,32150,Marguestau,marguestau,43.88405816092,-0.03599045977012
12343,32,32237,32270,Marsan,marsan,43.64420625,0.72906416666667
12344,32,32238,32170,Marseillan,marseillan,43.488641428571,0.31159412698413
12345,32,32239,32700,Marsolan,marsolan,43.937898203125,0.5286996875
12346,32,32240,32230,Mascaras,mascaras,43.555211219512,0.22409109756098
12347,32,32241,32700,Mas-d'Auvignon,mas d auvignon,43.89003734375,0.50776359375
12348,32,32242,32140,Masseube,masseube,43.432157566372,0.58593123893805
12349,32,32243,32240,Mauléon-d'Armagnac,mauleon d armagnac,43.907758920635,-0.15207526984127
12350,32,32244,32400,Maulichères,maulicheres,43.685958888889,-0.08584538461538
12351,32,32245,32400,Maumusson-Laguian,maumusson laguian,43.609969488636,-0.08938568181818
12352,32,32246,32240,Maupas,maupas,43.842834453781,-0.13005050420168
12353,32,32247,32200,Maurens,maurens,43.583830471698,0.91795622641509
12354,32,32248,32380,Mauroux,mauroux,43.906709333333,0.82290142857143
12355,32,32249,32120,Mauvezin,mauvezin,43.735210941558,0.86785626623377
12356,32,32250,32420,Meilhan,meilhan,43.420618035714,0.67880892857143
12357,32,32251,32360,Mérens,merens,43.75056754386,0.5502049122807
12358,32,32252,32170,Miélan,mielan,43.42631023166,0.30692640926641
12359,32,32253,32340,Miradoux,miradoux,43.997034350649,0.75401350649351
12360,32,32254,32300,Miramont-d'Astarac,miramont d astarac,43.545960857143,0.46850766666667
12361,32,32255,32390,Miramont-Latour,miramont latour,43.77761412844,0.68704036697248
12362,32,32256,32300,Mirande,mirande,43.521854736842,0.40669850877193
12363,32,32257,32350,Mirannes,mirannes,43.621899421488,0.38411545454545
12364,32,32258,32390,Mirepoix,mirepoix,43.742431666667,0.67215842592593
12365,32,32260,32420,Monbardon,monbardon,43.378799622642,0.71317773584906
12366,32,32261,32130,Monblanc,monblanc,43.463562857143,0.99171080357143
12367,32,32262,32600,Monbrun,monbrun,43.665522830189,1.0371258490566
12368,32,32263,32300,Moncassin,moncassin,43.447998761468,0.47166426605505
12369,32,32264,32150,Monclar,monclar,43.916973262032,-0.10582711229947
12370,32,32265,32300,Monclar-sur-Losse,monclar sur losse,43.527271020408,0.33681193877551
12371,32,32266,32260,Moncorneil-Grazan,moncorneil grazan,43.451042615385,0.64924761538462
12372,32,32267,32260,Monferran-Plavès,monferran plaves,43.493126713287,0.64131657342657
12373,32,32268,32490,Monferran-Savès,monferran saves,43.610205,0.98180650684932
12374,32,32269,32120,Monfort,monfort,43.79202738676,0.8267550174216
12375,32,32270,32220,Mongausy,mongausy,43.501482761905,0.80469704761905
12376,32,32271,32240,Monguilhem,monguilhem,43.85550840708,-0.18679884955752
12377,32,32272,32140,Monlaur-Bernet,monlaur bernet,43.349709785714,0.51454885714286
