,,,,-GIRONDE,,,
12796,33,33224,33540,Landerrouet-sur-Ségur,landerrouet sur segur,44.64993192,-0.02413536
12797,33,33225,33720,Landiras,landiras,44.548748675214,-0.42695316239316
12798,33,33226,33550,Langoiran,langoiran,44.709500720721,-0.3679627027027
12799,33,33227,33210,Langon,langon,44.534729141104,-0.23183067484663
12800,33,33228,33710,Lansac,lansac,45.063793052632,-0.53495042105263
12801,33,33229,33138,Lanton,lanton,44.735080621118,-1.0143121118012
12802,33,33230,33620,Lapouyade,lapouyade,45.115652135231,-0.29645900355872
12803,33,33231,33410,Laroque,laroque,44.660803924051,-0.30134253164557
12804,33,33232,33840,Lartigue,lartigue,44.255601139896,-0.0862032642487
12805,33,33233,33620,Laruscade,laruscade,45.11618907563,-0.34433042016807
12806,33,33234,33360,Latresne,latresne,44.789544133333,-0.49250386666667
12807,33,33235,33690,Lavazan,lavazan,44.38922528,-0.11641144
12808,33,33236,33950,Lège-Cap-Ferret,lege cap ferret,44.788171,-1.1929114
12809,33,33236,33970,Lège-Cap-Ferret,lege cap ferret,44.6515851,-1.2457898
12810,33,33237,33210,Léogeats,leogeats,44.507470357143,-0.3585155
12811,33,33238,33850,Léognan,leognan,44.733012242991,-0.60585728971963
12812,33,33239,33840,Lerm-et-Musset,lerm et musset,44.351022993197,-0.16668017006803
12813,33,33240,33340,Lesparre-Médoc,lesparre medoc,45.292431,-0.92755033333333
12814,33,33241,33550,Lestiac-sur-Garonne,lestiac sur garonne,44.69356175,-0.3772545
12815,33,33242,33220,Les Lèves-et-Thoumeyragues,les leves et thoumeyragues,44.785546742857,0.18555268571429
12816,33,33243,33500,Libourne,libourne,44.919972102273,-0.23394869318182
12817,33,33244,33430,Lignan-de-Bazas,lignan de bazas,44.432488648649,-0.27626662162162
12818,33,33245,33360,Lignan-de-Bordeaux,lignan de bordeaux,44.794740992366,-0.43082961832061
12819,33,33246,33220,Ligueux,ligueux,44.79303042735,0.26673025641026
12820,33,33247,33790,Listrac-de-Durèze,listrac de dureze,44.758211818182,0.03442
12821,33,33248,33480,Listrac-Médoc,listrac medoc,45.076160659898,-0.80577553299492
