,,,,-EURE-ET-LOIRE,,,
10396,28,28299,28210,Les Pinthières,les pinthieres,48.705799183673,1.5759091836735
10397,28,28300,28310,Poinville,poinville,48.177294390244,1.9029673170732
10398,28,28301,28300,Poisvilliers,poisvilliers,48.50889877551,1.4596771428571
10399,28,28302,28190,Pontgouin,pontgouin,48.491857615385,1.1420412307692
10400,28,28303,28140,Poupry,poupry,48.098080634921,1.8311244444444
10401,28,28304,28150,Prasville,prasville,48.273238148148,1.7163771604938
10402,28,28305,28800,Pré-Saint-Évroult,pre saint evroult,48.184489594595,1.4534987837838
10403,28,28306,28800,Pré-Saint-Martin,pre saint martin,48.221771111111,1.4652162962963
10404,28,28308,28270,Prudemanche,prudemanche,48.72402,1.1316306306306
10405,28,28309,28360,Prunay-le-Gillon,prunay le gillon,48.363059054054,1.6285439189189
10406,28,28310,28250,La Puisaye,la puisaye,48.610491652174,0.96543043478261
10407,28,28311,28310,Le Puiset,le puiset,48.214476393443,1.8637262295082
10408,28,28312,28170,Puiseux,puiseux,48.639000555556,1.3683136111111
10409,28,28313,28150,Réclainville,reclainville,48.336726666667,1.7353755555556
10410,28,28314,28340,Les Ressuintes,les ressuintes,48.594937794118,0.92918897058824
10411,28,28315,28270,Revercourt,revercourt,48.722943815789,1.0819664473684
10412,28,28316,28340,Rohaire,rohaire,48.667754705882,0.84240752941176
10413,28,28317,28700,Roinville,roinville,48.444476842105,1.7542786842105
10414,28,28319,28310,Rouvray-Saint-Denis,rouvray saint denis,48.279074285714,1.9493226530612
10415,28,28321,28260,Rouvres,rouvres,48.831488285714,1.4836945
10416,28,28322,28270,Rueil-la-Gadelière,rueil la gadeliere,48.705180155039,0.96443046511628
10417,28,28323,28170,Saint-Ange-et-Torçay,saint ange et torcay,48.650690962963,1.210896
10418,28,28324,28190,Saint-Arnoult-des-Bois,saint arnoult des bois,48.493787364341,1.2610834883721
10419,28,28325,28300,Saint-Aubin-des-Bois,saint aubin des bois,48.468115714286,1.3485682352941
10420,28,28326,28120,Saint-Avit-les-Guespières,saint avit les guespieres,48.26660261194,1.2589880597015
10421,28,28327,28330,Saint-Bomer,saint bomer,48.192815806452,0.82950251612903
10422,28,28329,28200,Saint-Christophe,saint christophe,48.132534590164,1.3711878688525
10423,28,28330,28200,Villemaury,villemaury,48.052557759563,1.4673303825137
10424,28,28331,28480,Saint-Denis-d'Authou,saint denis d authou,48.332696513158,0.99595914473684
10425,28,28332,28500,Sainte-Gemme-Moronval,sainte gemme moronval,48.737757313433,1.4168814925373
10426,28,28333,28240,Saint-Denis-des-Puits,saint denis des puits,48.379799622642,1.1697073584906
10427,28,28334,28200,Saint-Denis-les-Ponts,saint denis les ponts,48.063086392405,1.2688694936709
10428,28,28335,28240,Saint-Éliph,saint eliph,48.45259503937,1.0304137795276
10429,28,28336,28120,Saint-Éman,saint eman,48.323996626506,1.2015885542169
10430,28,28337,28190,Saint-Georges-sur-Eure,saint georges sur eure,48.418043577982,1.3620142201835
10431,28,28339,28190,Saint-Germain-le-Gaillard,saint germain le gaillard,48.423068474576,1.2542484745763
10432,28,28341,28170,Saint-Jean-de-Rebervilliers,saint jean de rebervilliers,48.62218975,1.265103625
10433,28,28342,28400,Saint-Jean-Pierre-Fixte,saint jean pierre fixte,48.292983114754,0.82823983606557
10434,28,28343,28210,Saint-Laurent-la-Gâtine,saint laurent la gatine,48.690343768116,1.5384149275362
10435,28,28344,28700,Saint-Léger-des-Aubées,saint leger des aubees,48.418959753086,1.7485897530864
10436,28,28346,28270,Saint-Lubin-de-Cravant,saint lubin de cravant,48.707530120482,1.0973632530121
10437,28,28347,28410,Saint-Lubin-de-la-Haye,saint lubin de la haye,48.821181521739,1.5625084782609
10438,28,28348,28350,Saint-Lubin-des-Joncherets,saint lubin des joncherets,48.750032537313,1.1867297014925
10439,28,28349,28210,Saint-Lucien,saint lucien,48.642447,1.624338125
10440,28,28350,28190,Saint-Luperce,saint luperce,48.440489146341,1.2962017073171
10441,28,28351,28170,Saint-Maixme-Hauterive,saint maixme hauterive,48.596171858407,1.1763798230089
10442,28,28352,28130,Saint-Martin-de-Nigelles,saint martin de nigelles,48.615682717391,1.6159442391304
10443,28,28353,28800,Saint-Maur-sur-le-Loir,saint maur sur le loir,48.150669255319,1.4121055319149
