id,department_code,insee_code,zip_code,-CHARENTE-MARITIME,slug,gps_lat,gps_lng
5784,17,17105,17510,Chives,chives,45.952130408163,-0.11797336734694
5785,17,17106,17520,Cierzac,cierzac,45.562972020202,-0.31312393939394
5786,17,17107,17290,Ciré-d'Aunis,cire d aunis,46.04164468254,-0.93754674603175
5787,17,17108,17500,Clam,clam,45.495983469388,-0.44292336734694
5788,17,17109,17220,Clavette,clavette,46.142506341463,-1.0384658536585
5789,17,17110,17270,Clérac,clerac,45.170112688172,-0.24213075268817
5790,17,17111,17240,Clion,clion,45.473564672131,-0.51110323770492
5791,17,17112,17600,La Clisse,la clisse,45.732692957746,-0.75506971830986
5792,17,17113,17360,La Clotte,la clotte,45.116870583333,-0.1435555
5793,17,17114,17330,Coivert,coivert,46.066813388889,-0.45282633333333
5794,17,17115,17460,Colombiers,colombiers,45.64239109589,-0.54895616438356
5795,17,17116,17150,Consac,consac,45.4170915,-0.5902013
5796,17,17117,17470,Contré,contre,46.011637471264,-0.2648175862069
5797,17,17118,17130,Corignac,corignac,45.244547459016,-0.3944381147541
5798,17,17119,17600,Corme-Écluse,corme ecluse,45.635779776119,-0.86676574626866
5799,17,17120,17600,Corme-Royal,corme royal,45.748742746479,-0.80834915492958
5800,17,17121,17670,La Couarde-sur-Mer,la couarde sur mer,46.204209846154,-1.4381012307692
5801,17,17122,17800,Coulonges,coulonges,45.607828715596,-0.42423917431193
5802,17,17124,17330,Courant,courant,46.041172535211,-0.58835507042254
5803,17,17125,17400,Courcelles,courcelles,45.95740626506,-0.48020289156626
5804,17,17126,17160,Courcerac,courcerac,45.838256349206,-0.37227865079365
5805,17,17127,17170,Courçon,courcon,46.245364242424,-0.80576393939394
5806,17,17128,17100,Courcoury,courcoury,45.705042810458,-0.56930797385621
5807,17,17129,17130,Courpignac,courpignac,45.312445464684,-0.49849973977695
5808,17,17130,17130,Coux,coux,45.317721140351,-0.41201798245614
5809,17,17131,17120,Cozes,cozes,45.5760353125,-0.82600921875
5810,17,17132,17170,Cramchaban,cramchaban,46.21223,-0.72171824175824
5811,17,17133,17260,Cravans,cravans,45.593069166667,-0.71175287878788
5812,17,17134,17350,Crazannes,crazannes,45.850577142857,-0.70559142857143
5813,17,17135,17160,Cressé,cresse,45.917086623377,-0.21412714285714
5814,17,17136,17220,Croix-Chapeau,croix chapeau,46.105078695652,-0.99711391304348
5815,17,17137,17330,La Croix-Comtesse,la croix comtesse,46.08138125,-0.507283
5816,17,17138,17470,Dampierre-sur-Boutonne,dampierre sur boutonne,46.076919586207,-0.39179186206897
5817,17,17139,17330,Dœuil-sur-le-Mignon,doeuil sur le mignon,46.126889310345,-0.53848267241379
5818,17,17140,17550,Dolus-d'Oléron,dolus d oleron,45.918547924528,-1.2565678490566
5819,17,17141,17610,Dompierre-sur-Charente,dompierre sur charente,45.710210336134,-0.49934504201681
5820,17,17142,17139,Dompierre-sur-Mer,dompierre sur mer,46.182546483516,-1.0658271428571
5821,17,17143,17100,Le Douhet,le douhet,45.809513129771,-0.58237648854962
5822,17,17145,17800,Échebrune,echebrune,45.590598909091,-0.44470490909091
5823,17,17146,17620,Échillais,echillais,45.903377411765,-0.95408964705882
5824,17,17147,17770,Écoyeux,ecoyeux,45.811427857143,-0.51516830357143
5825,17,17148,17810,Écurat,ecurat,45.795043214286,-0.68674738095238
5826,17,17149,17510,Les Éduts,les eduts,45.996697179487,-0.20913346153846
5827,17,17150,17400,Les Églises-d'Argenteuil,les eglises d argenteuil,45.985087473684,-0.42527794736842
5828,17,17151,17600,L'Éguille,l eguille,45.698905981308,-0.97850551401869
5829,17,17152,17120,Épargnes,epargnes,45.54125122807,-0.80733271929825
5830,17,17153,17137,Esnandes,esnandes,46.249676732673,-1.1113169306931
5831,17,17154,17250,Les Essards,les essards,45.794728604651,-0.76959782945736
5832,17,17155,17750,Étaules,etaules,45.732474680851,-1.0970764539007
5833,17,17156,17130,Expiremont,expiremont,45.330510634921,-0.37300063492063
5834,17,17157,17350,Fenioux,fenioux,45.891694123711,-0.5923212371134
5835,17,17158,17170,Ferrières,ferrieres,46.224754561404,-0.84994578947368
5836,17,17159,17800,Fléac-sur-Seugne,fleac sur seugne,45.53270125,-0.53079345588235
5837,17,17160,17120,Floirac,floirac,45.477528,-0.7489209
5838,17,17160,17240,Floirac,floirac,45.477528,-0.7489209
5839,17,17161,17630,La Flotte,la flotte,46.179421020408,-1.3231534693878
5840,17,17162,17510,Fontaine-Chalendray,fontaine chalendray,45.945970661157,-0.17972214876033
5841,17,17163,17500,Fontaines-d'Ozillac,fontaines d ozillac,45.380792578616,-0.38185226415094
5842,17,17164,17100,Fontcouverte,fontcouverte,45.768603709677,-0.59240677419355
5843,17,17165,17400,Fontenet,fontenet,45.909246090909,-0.46343327272727
5844,17,17166,17290,Forges,forges,46.112214615385,-0.89720637362637
