,,,,-LOIRE-ATLANTIQUE,,,
16749,44,44198,44840,Les Sorinières,les sorinieres,47.142195704698,-1.5208844295302
16750,44,44199,44110,Soudan,soudan,47.733232923729,-1.2918794067797
16751,44,44200,44660,Soulvache,soulvache,47.82297137931,-1.4525642364532
16752,44,44201,44240,Sucé-sur-Erdre,suce sur erdre,47.351163776596,-1.5320470212766
16753,44,44202,44440,Teillé,teille,47.466347222222,-1.2918937222222
16754,44,44203,44360,Le Temple-de-Bretagne,le temple de bretagne,47.327491923077,-1.7910721153846
16755,44,44204,44470,Thouaré-sur-Loire,thouare sur loire,47.273721351351,-1.4355981081081
16756,44,44205,44390,Les Touches,les touches,47.446875,-1.4149515882353
16757,44,44206,44650,Touvois,touvois,46.898747211538,-1.6939627564103
16758,44,44207,44440,Trans-sur-Erdre,trans sur erdre,47.484387939914,-1.3639900858369
16759,44,44208,44170,Treffieux,treffieux,47.614925423729,-1.5318373728814
16760,44,44209,44119,Treillières,treillieres,47.307689672131,-1.6125866393443
16761,44,44210,44570,Trignac,trignac,47.315110661157,-2.211117768595
16762,44,44211,44420,La Turballe,la turballe,47.347265384615,-2.4977672596154
16763,44,44212,44330,Vallet,vallet,47.163452307692,-1.2634345657568
16764,44,44213,44370,Loireauxence,loireauxence,47.433997960688,-1.0309494103194
16765,44,44214,44170,Vay,vay,47.535756243386,-1.7048221164021
16766,44,44215,44120,Vertou,vertou,47.154039754098,-1.4733216803279
16767,44,44216,44116,Vieillevigne,vieillevigne,46.96995647191,-1.4203025842697
16768,44,44217,44360,Vigneux-de-Bretagne,vigneux de bretagne,47.315014275362,-1.7087057971014
16769,44,44218,44110,Villepot,villepot,47.764406327684,-1.2790446892655
16770,44,44220,44640,Vue,vue,47.200353868613,-1.8878237226277
16771,44,44221,44810,La Chevallerais,la chevallerais,47.472883613445,-1.663775210084
16772,44,44222,44522,La Roche-Blanche,la roche blanche,47.43327090625,-1.1507045
16773,44,44223,44140,Geneston,geneston,47.058190909091,-1.5239284090909
16774,44,44224,44170,La Grigonnais,la grigonnais,47.517579942197,-1.6845473988439
